Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,equip_b_senalizacion_ext,equip_b_acceso_modo,equip_b_nombre,cerramiento_id,acc_id,acc_dis_id,equip_b_tiene_interes,equip_b_superficie_aprox,cerramiento_material_id,web,campamento_juvenil,campamento_servicio_informativo,campamento_cabanas,campamento_parcelas,campamento_categoria,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,79244,6,true,false,,HERCJ00001,,2010-05-31T22:00:00Z,2004-08-25T22:00:00Z,1,false,En el pueblo de Sargentes de la Lora,Albergue juvenil Padre Manjón,3,1,1,false,0,17,,true,false,0,0,1,POINT (-3.873699616397285 42.767962845644412)
,,,,,,-1,-1,-1,,,81670,6,false,false,,LNUCJ00001,"Campamento temporal, sin ningún tipo de infraestructura. Tiene una barbacoa no utilizable. Dispone de dos fosas sépticas",2010-05-17T22:00:00Z,2010-03-01T23:00:00Z,3,false,"Por la carretera SO-830 que une Vinuesa con Monegro de Cameros, en el pk 6,100 parte a mano izquierda una pista en dirección al río Revinuesa que tras 0,6 km conduce al  rea.",Raso de la Huerta,1,1,2,false,0,1,,true,false,0,0,1,POINT (-2.782523365528735 41.956426978360383)
,,,,,,-1,-1,-1,,,81671,6,false,false,,LNUCJ00002,La zona está dividida en 6 parcelas entre la carretera y el río para instalar distintos campamentos.,2010-05-17T22:00:00Z,2010-03-01T23:00:00Z,4,false,Por la carretera SO-830 que une Vinuesa con Monegro de Cameros,El Plantío (Seis Parcelas),1,1,2,false,0,1,,true,false,0,0,1,POINT (-2.7679548293135 41.933006822419095)
,,,,,,-1,-1,-1,,,81672,6,false,false,,LNUCJ00003,"Campamento temporal, sin ningún tipo de infraestructura.",2010-05-17T22:00:00Z,2010-03-01T23:00:00Z,4,false,Por la carretera SO-830 que une Vinuesa con Monegro de Cameros,La Chabola,1,1,2,false,0,1,,true,false,0,0,1,POINT (-2.788099234708711 41.987152927336652)
,,,,,,-1,-1,-1,,,81673,6,false,false,,LNUCJ00004,"Campamento temporal, sin ningún tipo de infraestructura.",2010-05-17T22:00:00Z,2010-03-01T23:00:00Z,4,false,Por la carretera SO-830 que une Vinuesa con Monegro de Cameros,Viveros Viejos,1,1,2,false,0,1,,true,false,0,0,1,POINT (-2.7793289107029 41.957590365695225)
,,,,,,-1,-1,-1,,,81674,6,false,false,,LNUCJ00005,"Campamento temporal, sin ningún tipo de infraestructura.",2010-05-17T22:00:00Z,2010-03-01T23:00:00Z,4,false,Por la carretera SO-830 que une Vinuesa con Monegro de Cameros,Puente Viejos,1,1,2,false,0,1,,true,false,0,0,1,POINT (-2.778714960835087 41.960660442534653)
,,,,,,-1,-1,-1,,,81675,6,false,false,,LNUCJ00006,"Campamento temporal, sin ningún tipo de infraestructura.",2010-05-17T22:00:00Z,2010-03-01T23:00:00Z,4,false,Acceso desde Duruelo de la Sierra,El Cerrillo,1,1,2,false,0,1,,true,false,0,0,1,POINT (-2.92331078289681 41.954678541606356)
,,,,,,-1,-1,-1,,,82507,6,true,false,,LSNCT00001,,2011-06-09T22:00:00Z,1978-10-26T23:00:00Z,2,false,Carretera de Ridadelago,Camping Los Robles,4,1,2,true,0,4,,false,false,0,0,3,POINT (-6.713119642958294 42.119381319221532)
,,,,,,-1,-1,-1,,,82508,6,true,false,,LSNCT00002,,2011-06-09T22:00:00Z,1978-10-26T23:00:00Z,2,false,Carretera de Ridadelago,Camping Peña Gullón,4,1,2,true,0,4,,false,false,0,0,2,POINT (-6.688890857849693 42.120108732222974)
,,,,,,-1,-1,-1,,,82509,6,true,false,,LSNCT00003,,2011-06-09T22:00:00Z,1978-10-26T23:00:00Z,2,false,Carretera de S.M. de Castañeda,Camping El Folgoso,4,1,2,true,0,4,,false,false,0,0,2,POINT (-6.698850304872718 42.131136045095815)
,,,,,,-1,-1,-1,,,84197,6,true,false,,MOBCT00001,"Tiene una superficie de 32000m2. Bar/cafetería, restaurante, supermecado, lavadoras automáticas.",2009-12-28T23:00:00Z,2006-10-13T22:00:00Z,1,true,,Camping Río Neila,3,1,3,false,0,5,,false,true,0,0,2,POINT (-3.396857224336879 42.803733292572296)
,,,,,,-1,-1,-1,,,84198,6,true,false,,MOBCT00002,"Tiene una superficie de 30000m2. Bar/cafetería, restaurante, supermecado, lavandería",2009-12-28T23:00:00Z,2006-10-13T22:00:00Z,1,true,,Camping Frías,3,1,2,false,0,5,,false,true,0,215,2,POINT (-3.296934227931198 42.770913891386648)
,,,,,,-1,-1,-1,,,84199,6,true,false,,MOBCT00003,"Superficie de 2500m2.Pista polideportiva, campo de futbol",2009-12-28T23:00:00Z,2006-10-13T22:00:00Z,1,true,,Camping Puerta de los Montes Obarenes,3,1,2,false,0,5,,false,true,0,25,1,POINT (-3.265734609566147 42.66351296451775)
,,,,,,-1,-1,-1,,,84200,6,true,false,,MOBCT00004,Superficie de 13000m2. No dispone de contenedores porque no hay servicio de recogida de basura.,2009-12-28T23:00:00Z,2006-10-13T22:00:00Z,1,true,"Acceso por la autopista A-1, salida 4, dirección Vitoria-Gasteiz.",Camping El Desfiladero,3,1,2,false,0,3,,false,true,0,0,1,POINT (-3.092142143179679 42.646829792758432)
,,,,,,-1,-1,-1,,,84489,6,true,false,,MSTCJ00001,,2010-09-30T22:00:00Z,2010-09-30T22:00:00Z,1,false,Rodado y peatonal,Albergue de Villalba de Losa,1,1,1,true,0,4,,true,false,0,0,1,POINT (-3.087653362641423 42.935820041753992)
,,,,,,-1,-1,-1,,,85859,6,true,false,,PEUCT00001,,2010-08-04T22:00:00Z,2004-01-14T23:00:00Z,3,true,,C. Riaño,3,1,3,false,0,11,,false,false,0,100,3,POINT (-4.998095582747725 42.976393506010318)
,,,,,,-1,-1,-1,,,85860,6,true,false,,PEUCT00002,,2010-08-04T22:00:00Z,1995-05-29T22:00:00Z,3,true,,C. Alto Esla (Boca de Huérgano),3,1,3,false,0,17,,false,false,0,40,2,POINT (-4.929352475258378 42.972234016649821)
,,,,,,-1,-1,-1,,,85861,6,true,false,,PEUCT00003,,2010-08-04T22:00:00Z,1995-05-29T22:00:00Z,3,true,,C. El Cares (Sta. Marina de V),4,1,2,false,0,4,,false,false,0,0,2,POINT (-4.882503400876142 43.128334162254589)
,,,,,,-1,-1,-1,,,85864,6,true,false,,PEUCT00006,,2010-08-04T22:00:00Z,1995-05-29T22:00:00Z,3,true,,C. El Soto (Boñar),4,1,2,false,0,4,,false,false,0,0,2,POINT (-5.327978918866372 42.869668114841012)
,,,,,,-1,-1,-1,,,89118,6,true,false,,SGRCJ00001,,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,1,false,,Luis Miguel Lopez Martinez,4,1,2,false,0,4,,true,false,0,0,1,POINT (-5.160231209423793 40.230544014342144)
,,,,,,-1,-1,-1,,,89119,6,true,false,false,SGRCJ00002,,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,4,false,"Por la carretera AV-P-711 que une El Hornillo con Arenas de San Pedro, próximo a el río.",El Tejar,4,1,2,false,0,4,,true,false,0,0,1,POINT (-5.091795382150123 40.237776832197945)
,,,,,,-1,-1,-1,,,89120,6,true,false,,SGRCJ00003,,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,1,false,,Huerta del Rey,4,1,2,false,0,4,,true,false,0,0,1,POINT (-5.164273132380353 40.341103214556973)
,,,,,,-1,-1,-1,,,89121,6,true,false,,SGRCJ00004,,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,1,false,,Valdeascas,4,1,2,false,0,4,,true,false,0,0,1,POINT (-5.128420726176262 40.333255145456526)
,,,,,,-1,-1,-1,,,89122,6,true,false,,SGRCJ00005,,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,1,false,,Hoyos del Collado,4,1,2,false,0,4,,true,false,0,0,1,POINT (-5.214000669295682 40.361209932949457)
,,,,,,-1,-1,-1,,,89123,6,true,false,,SGRCT00001,Camping en construcción. Para acceder al campamento El Tejar nº 30 hay que atravesar el camping. Junto a la carretera hay una antigua casa forestal donde pretende ponerse el bar. LIC y ZEPA Sierra de Gredos.,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,1,false,"Por la carretera AV-P-711 que une El Hornillo con Arenas de San Pedro, a mano izquierda junto a la carretera.",El Tejar,4,1,2,false,0,4,,false,false,0,0,1,POINT (-5.092436879668081 40.237493634812694)
,,,,,,-1,-1,-1,,,89124,6,true,false,,SGRCT00002,"Camping propiedad del Ayuntamiento, adjudicado a una cooperativa del pueblo. No es aprovechamiento del monte. Los paneles informativos no son de JCYL.",2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,2,false,"Por la carretera AV-931 de Hoyos del Espino a la plataforma de Gredos, a 1,6 km a la altura del puente del Duque sobre el río Tormes parte una pista a mano derecha que tras 0,3 km conduce al camping.",Gredos,3,1,2,false,0,11,http://www.campingredos.com/,false,false,0,0,2,POINT (-5.174995664946939 40.340420616223206)
,,,,,,-1,-1,-1,,,81554,6,true,false,false,LGNCJ00001,,2011-06-08T22:00:00Z,2008-12-08T23:00:00Z,2,true,Dirección Lagunas,Refugio de Neila,1,3,1,false,0,1,http://www.refugiodeneila.com,true,true,0,0,1,POINT (-3.035002097221208 42.046039042261945)
,,,,,,-1,-1,-1,,,89125,6,true,false,,SGRCT00003,Aprovechamiento del monte. 6 de las papeleras son contenedores de basura. Próximo al Aula de la Naturaleza Cepeda el Pelar nº 70.,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,2,false,"Acceso por la ctra. N-502, tomando la C-500, dirección a El Barco de Avila",Navagredos,4,1,2,false,0,4,,false,false,4,0,2,POINT (-5.132699501135258 40.34234360851115)
,,,,,,-1,-1,-1,,,89126,6,true,false,,SGRCT00004,,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,1,false,,Los Galayos,3,1,1,false,0,2,http://www.campinglosgalayos.com/Camping_los_galayos/Camping_los_galayos.html,false,false,0,0,2,POINT (-5.152425944865344 40.223730695634153)
,,,,,,-1,-1,-1,,,89127,6,true,false,,SGRCT00005,,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,3,false,Carretera de Bohoyo a Navamediana,Peña Gorda-Los Chozos,3,1,2,false,0,3,,false,false,6,0,2,POINT (-5.43018630535505 40.312131602294137)
,,,,,,-1,-1,-1,,,89128,6,true,false,,SGRCT00006,Cerrado en el 2007,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,1,false,Ctra.C-500-Barco-Hoyos,Hermosillo,4,1,1,false,0,4,,false,false,2,75,2,POINT (-5.484398650471524 40.327669704927281)
,,,,,,-1,-1,-1,,,89129,6,true,false,,SGRCT00007,,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,1,false,,Prados Abiertos,4,1,2,false,0,4,,false,false,0,100,2,POINT (-5.034381143509505 40.231091811290383)
,,,,,,-1,-1,-1,,,89559,6,true,false,,VLICT00001,,2011-06-13T22:00:00Z,1997-06-16T22:00:00Z,1,true,,Valle de Iruelas,3,1,2,false,0,2,,false,false,0,0,1,POINT (-4.573536248508576 40.408050989650171)
,,,,,,-1,-1,-1,,,89560,6,true,false,,VLICT00002,,2011-06-13T22:00:00Z,1997-06-16T22:00:00Z,1,true,,Valle de Iruelas,3,1,2,false,0,11,,false,false,0,0,1,POINT (-4.564366325916429 40.417724859453088)
,,,,,,-1,-1,-1,,,85858,6,true,false,false,PEUCJ00001,,2010-08-04T22:00:00Z,1995-05-29T22:00:00Z,2,true,,Puente Viejo,3,3,2,false,0,11,,true,false,0,0,1,POINT (-5.324438272803456 42.872691302275761)
