Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,equip_b_senalizacion_ext,equip_b_acceso_modo,equip_b_nombre,cerramiento_id,acc_id,acc_dis_id,equip_b_tiene_interes,equip_b_superficie_aprox,cerramiento_material_id,web,centro_visitantes_tipo,centro_visitantes_atendido,centro_visitantes_capacidad_pernoctar,centro_visitantes_servicio_informativo,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,88836,8,true,false,,RCDCV00001,Estructura techada con un banco y una señal informactiva de la Reserva Natural Riberas de castronuño-Vega de Duero,2011-06-12T22:00:00Z,2002-04-10T22:00:00Z,2,false,En el casco urbano de Pollos en la avenida de España.,Punto de información de Pollos,4,1,2,false,0,4,,3,0,0,false,POINT (-5.120566518779892 41.445168299869607)
,,,,,,-1,-1,-1,,,89132,8,true,false,false,SGRCV00001,Almacén y casa forestal dentro del recinto vallado,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,2,false,Por el camino forestal asfaltado de Valdeascas que parte de Navarredonda de Gredos a la altura de la gasolinera.,Cepeda El Pelar,4,3,2,false,0,4,,9,0,0,false,POINT (-5.131513567143299 40.340572858897382)
,,,,,,-1,-1,-1,,,89133,8,true,false,,SGRCV00002,,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,3,true,,Punto Información Castro celta El Raso,1,1,2,false,0,1,,3,0,0,true,POINT (-5.353259487303368 40.181269646048442)
,,,,,,-1,-1,-1,,,89134,8,true,false,,SGRCV00003,Castro celta con guía,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,2,true,,Castro celta,1,1,2,false,0,1,,6,0,0,true,POINT (-5.357818337181519 40.182149801974028)
,,,,,,-1,-1,-1,,,89135,8,true,false,,SGRCV00004,,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,1,false,,Casa micológica,4,1,2,false,0,4,,2,0,0,true,POINT (-5.250596590867058 40.359966609576063)
,,,,,,-1,-1,-1,,,89136,8,true,false,,SGRCV00005,Museo cinegético y centro de gestión de caza,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,1,false,,Casa de la Reserva,4,1,2,false,0,4,,2,0,0,true,POINT (-5.249974150823547 40.360637390027769)
,,,,,,-1,-1,-1,,,89137,8,true,false,,SGRCV00006,Museo de rocas y líquenes.,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,1,false,,Casa de los Líquenes,3,1,2,false,0,12,,2,0,0,true,POINT (-5.305981516932062 40.350348180742451)
,,,,,,-1,-1,-1,,,89138,8,true,false,,SGRCV00007,Antigua cárcel en el casco urbano de Barco de Ávila,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,1,true,,Centro de visitantes Cárcel,4,1,2,false,0,4,,2,0,0,true,POINT (-5.524786390403337 40.357474861821132)
,,,,,,-1,-1,-1,,,89139,8,true,false,,SGRCV00008,,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,2,false,,Oficina Comarcal de Medio Ambiente,4,3,2,false,0,4,,7,0,0,false,POINT (-5.519764695276461 40.356494138633664)
,,,,,,-1,-1,-1,,,89140,8,true,false,,SGRCV00009,En obras,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,1,false,,Aula del río,4,3,2,false,0,4,,11,0,0,false,POINT (-5.38599036237551 40.329748760194548)
,,,,,,-1,-1,-1,,,89141,8,true,false,,SGRCV00010,,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,2,false,,Aula del río de Barco de Ávila,4,3,2,false,0,4,,11,0,0,false,POINT (-5.527429654762915 40.356850259279916)
,,,,,,-1,-1,-1,,,89142,8,true,false,,SGRCV00011,,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,2,false,,Punto de turismo Barco de Ávila,4,3,2,false,0,4,,3,0,0,false,POINT (-5.525572515266128 40.356518288539434)
,,,,,,-1,-1,-1,,,89143,8,true,false,,SGRCV00012,Almacén y casa forestal dentro del recinto vallado (no del aula) Requisitos: Responsable. Participantes. Programa. Seguros. Aceptación de condicionado. Fianza. Autorización S.T. Cultura.Programa de actividades,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,2,false,Por el camino forestal asfaltado de Valdeascas que parte de Navarredonda de Gredos a la altura de la gasolinera.,Cepeda el Pelar,4,3,2,false,0,4,,9,0,0,false,POINT (-5.131513567143299 40.340572858897382)
,,,,,,-1,-1,-1,,,89144,8,true,false,,SGRCV00013,,2010-06-14T22:00:00Z,1996-06-19T22:00:00Z,1,true,,Abejas del Valle,3,1,2,false,0,12,,2,0,0,false,POINT (-5.174255331393857 40.172081099368349)
,,,,,,-1,-1,-1,,,80591,8,true,false,false,HRRCV00001,,2010-05-31T22:00:00Z,2005-05-31T22:00:00Z,1,true,"Desde Burgos, tomar la A-1 hasta la salida número 152 en la localidad de Fuentespina. Continuar por la N-1 hasta tomar la carretera C-114, en dirección a Ayllón. 
Desde Madrid, tomar la A-1 hasta la salida número 115 en la localidad de Boceguillas, continuando por la vía de servicio hasta el desvío a Grajera y Maderuelo. Posteriormente tomar la carretera SG-V-9010 hasta la localidad de Maderuelo.",Punto de Información,3,1,2,false,0,3,http://www.maderuelo.com,3,0,15,true,POINT (-3.521612797488239 41.486884545331016)
