"Tipo";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Fax";"Email";"web";"Q Calidad";"Central Reservas";"Posada Real";"GPS.Longitud";"GPS.Latitud";
"Casa Rural de Alquiler";"CASA KARDIEL";"Calle MAYOR 30   A";"34888";"Palencia";"Velilla del Río Carrión";"CARDAÑO DE ARRIBA";"CARDAÑO DE ARRIBA";"699616962";"622205111";"979861265";"";"casakardiel@hotmail.com";"";"";"";"";"-4,7575472";"42,9706029";
"Casa Rural de Alquiler";"CASA CUMBRE";"CUMBRE, 3";"37658";"Salamanca";"Villanueva del Conde";"VILLANUEVA DEL CONDE";"VILLANUEVA DEL CONDE";"923208360";"619924835";"";"";"info@casaruralsalamanca.com";"www.casaruralsalamanca.com";"";"";"";"-6,0119689";"40,5103691";
"Casa Rural de Alquiler";"CASA  ABILIO";"Calle GENERAL SANJUJO 26";"05560";"Ávila";"Villatoro";"VILLATORO";"VILLATORO";"626583505";"920230126";"";"";"";"";"";"";"";"-5,1132493";"40,5558985";
"Casa Rural de Alquiler";"CASA DE JESUS EL ZAPATERO";"SAN ROQUE, 1";"34439";"Palencia";"Támara de Campos";"TAMARA DE CAMPOS";"TAMARA DE CAMPOS";"979810460";"";"";"";"";"";"";"";"";"-4,3939315";"42,2033661";
"Casa Rural de Alquiler";"CASA DE LA ABUELA RUFA";"JOSE ANTONIO, 7";"40330";"Segovia";"Fuenterrebollo";"FUENTERREBOLLO";"";"921521004";"659917420";"";"";"";"";"";"";"";"-3,9317018";"41,3001134";
"Casa Rural de Alquiler";"CASA DE LA GARGANTA";"PUENTE, S/N";"05697";"Ávila";"Nava del Barco";"NAVA DEL BARCO";"NAVA DEL BARCO";"920340539";"";"";"";"";"";"";"";"";"-5,5399651";"40,2922046";
"Casa Rural de Alquiler";"LA CASA DE LA PANADERIA";"SIMON LOPEZ, 13";"37710";"Salamanca";"Candelario";"CANDELARIO";"";"923 402998";"923 410012";"";"";"";"";"";"Si";"";"-5,7441254";"40,3671779";
"Centro de Turismo Rural";"LA CASA DE LAMAS";"CANTEJEIRA";"24525";"León";"Balboa";"CANTEJEIRA";"CANTEJEIRA";"606363906";"";"";"";"";"";"";"";"";"-6,9222341";"42,7061635";
"Casa Rural de Alquiler";"CASA DE LAS ERAS";"Calle LAS ERAS 43";"37658";"Salamanca";"Villanueva del Conde";"VILLANUEVA DEL CONDE";"VILLANUEVA DEL CONDE";"923362513";"629853129";"";"923 123059";"";"";"";"Si";"";"-6,0119689";"40,5103691";
"Centro de Turismo Rural";"LA CASA DE LOS ARRIBES";"TRAVESIA DEL CALVARIO, 4";"49232";"Zamora";"Villar del Buey";"FORNILLOS DE FERMOSELLE";"";"980612915";"629749552";"";"";"lacasadelosarribes@hotmail.es";"lacasadelosarribes.com";"";"";"";"-6,3297088";"41,3627467";
"Casa Rural de Alquiler";"CASA DE ROSARIO (cierre temporal)";"C/ IGLESIA, S/N";"05154";"Ávila";"Narrillos del Álamo";"NARRILLOS DEL ALAMO";"NARRILLOS DEL ALAMO";"920209130";"920209329";"";"";"";"";"";"";"";"-5,4667623";"40,5667652";
"Posada";"LA CASA DEL ABAD DE AMPUDIA";"Plaza FRANCISCO MARTIN GROMAZ 12";"34191";"Palencia";"Ampudia";"AMPUDIA";"AMPUDIA";"979768008";"";"";"979768300";"hotel@casadelabad.com";"www.casadelabad.com";"";"Si";"";"-4,7812389";"41,9162852";
"Casa Rural de Alquiler";"CASA DEL CAÑO";"TRAVESIA DEL CAÑO, 4";"24270";"León";"Carrizo";"CARRIZO DE LA RIBERA";"";"987263631";"609214055";"";"";"rjimrno05@hotmail.com";"";"";"";"";"-5,8256426";"42,5845171";
"Casa Rural de Alquiler";"CASA DEL CASTILLO";"GAMA";"34815";"Palencia";"Aguilar de Campoo";"GAMA";"GAMA";"979122246";"637189658";"";"";"";"";"";"";"";"-4,272319";"42,7899486";
"Posada";"CASA DEL CURA";"Calle SAN ROQUE 22";"42145";"Soria";"Cidones";"HERREROS";"HERREROS";"975270464";"";"";"975270465";"info@casadelcuraposadas.com";"www.casadelcuraposadas";"";"";"Si";"-2,42449";"41,48589";
"Casa Rural de Alquiler";"CASA DEL ESCULTOR";"SAN ISIDRO, 10";"34208";"Palencia";"Reinoso de Cerrato";"REINOSO DE CERRATO";"REINOSO DE CERRATO";"979741539";"";"";"";"";"";"";"";"";"-4,3839531";"41,9750567";
"Casa Rural de Alquiler";"CASA DEL MEDICO";"PLAZA DE ESPAÑA, 5";"05124";"Ávila";"Hoyocasero";"HOYOCASERO";"HOYOCASERO";"902424141";"920206204";"";"920206235";"casasdegredos@diputacionavila.es";"www.casasgredos.com";"";"";"";"-4,9748707";"40,3990752";
"Casa Rural de Alquiler";"CASA DEL PARAPENTE (CIERRE TEMPORAL)";"RANCHO, S/N";"05632";"Ávila";"San Juan de Gredos";"HERGUIJUELA";"HERGUIJUELA";"920346226";"";"";"";"";"";"";"";"";"-5,2662123";"40,3765164";
"Casa Rural de Alquiler";"CASA DEL ROLLO (CIERRE TEMPORAL)";"PLAZA DEL AYUNTAMIENTO, S/N.";"05134";"Ávila";"Cepeda la Mora";"CEPEDA LA MORA";"CEPEDA LA MORA";"desconocido";"";"";"920 206235";"amigoscarretera@hotmail.com";"www/amigosdelacarretera.com";"";"";"";"-5,0486539";"40,4578148";
"Hotel Rural";"CASA EBRO";"Plaza MAYOR S/N";"34014";"Palencia";"Berzosilla";"OLLEROS DE PAREDES RUBIAS";"OLLEROS DE PAREDES RUBIAS";"979181323";"699491953";"";"";"carlos.lamalfa@hotmail.com";"";"";"";"";"-4,0112962";"42,779892";
"Casa Rural de Alquiler";"CASA EL PORTILLO";"Calle JUAN CARLOS I, 14";"34492";"Palencia";"Aguilar de Campoo";"MAVE";"MAVE";"979125026";"630294729";"";"";"mariluz@palenciarural.com";"www.palenciarural.com";"";"";"";"-4,274527";"42,7355822";
"Casa Rural de Alquiler";"CASA EL ROMERO";"C/ REAL, S/N";"24132";"León";"Riello";"PANDORADO";"PANDORADO";"679474236";"";"";"";"casaspandorado@gmail.com";"";"";"";"";"-5,9447454";"42,775092";
"Casa Rural de Alquiler";"CASA EL TIO MANUEL (CIERRE TEMPORAL)";"Carretera BARCO 6";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"902-424141";"920206204";"";"920206235";"casasdegredos@diputacionavila.es";"www.casasgredos.com";"";"";"";"-5,1768873";"40,3580651";
"Casa Rural de Alquiler";"CASA EL TOMILLO";"C/ REAL, S/N";"24132";"León";"Riello";"PANDORADO";"PANDORADO";"679474236";"";"";"";"casaspandorado@gmail.com";"";"";"";"";"-5,9447454";"42,775092";
"Casa Rural de Alojamiento Compartido";"CASA GOYETES";"EL VALLE, 4";"34840";"Palencia";"Cervera de Pisuerga";"CERVERA DE PISUERGA";"CERVERA DE PISUERGA";"979870568";"";"";"";"";"www.turpalencia.com";"";"";"";"-4,5004945";"42,8617157";
"Posada";"LA CASA GRANDE DE GORMAZ";"CAMINO DE LAS FUENTES";"42313";"Soria";"Quintanas de Gormaz";"QUINTANAS DE GORMAZ";"CENTRO";"975340982";"608300890";"";"";"";"";"";"";"";"-3,0297449";"41,4076751";
"Casa Rural de Alojamiento Compartido";"CASA INGLESA DEL CASTAÑAR";"RODEOS DEL CASTAÑAR, 25";"37700";"Salamanca";"Béjar";"BEJAR";"";"923 404499";"";"";"";"";"";"";"";"";"-5,7632507";"40,3852213";
"Casa Rural de Alquiler";"CASA JEIJO";"SAN TIRSO, 1";"49395";"Zamora";"Cobreros";"LIMIANOS DE SANABRIA";"LIMIANOS DE SANABRIA";"980621494";"666663764";"";"980621494";"carzalyjeijo@yahoo.es";"www.carzalyjeijo.com";"";"Si";"";"-6,7025428";"42,0738034";
"Casa Rural de Alquiler";"CASA JEROMIN";"ONESIMO REDONDO, 6";"47840";"Valladolid";"Villagarcía de Campos";"VILLAGARCIA DE CAMPOS";"VILLAGARCIA DE CAMPOS";"983295980";"";"";"";"";"";"";"";"";"-5,1932302";"41,7796432";
"Casa Rural de Alquiler";"CASA JOSE MARIA";"C/ BARRIO NUEVO, 11";"37658";"Salamanca";"Villanueva del Conde";"VILLANUEVA DEL CONDE";"VILLANUEVA DEL CONDE";"923437069";"667264613";"";"";"casajosemaria@casasenbatuecas.com";"www.casasenbatuecas.com";"";"";"";"-6,0119728";"40,5128111";
"Casa Rural de Alquiler";"CASA JUAN MANUEL";"PLAZA DE LA CALZADA, S/N.";"24374";"León";"Torre del Bierzo";"TREMOR DE ABAJO";"";"630927971";"944471206";"";"";"";"";"";"";"";"-6,2698972";"42,6439201";
"Casa Rural de Alquiler";"CASA LA CENTRAL-LA HIGUERILLA";"FINCA LA HIGUERILLA";"05600";"Ávila";"Barco de Ávila (El)";"BARCO DE AVILA (EL)";"BARCO DE AVILA (EL)";"920-206204";"902424141";"";"920206235";"casasdegredos@diputacionavila.es";"www.casasgredos.com";"";"";"";"-5,5190736";"40,3578257";
"Casa Rural de Alquiler";"CASA LA CENTRAL-PEÑAGORDA";"FINCA LA HIGUERILLA";"05600";"Ávila";"Barco de Ávila (El)";"BARCO DE AVILA (EL)";"BARCO DE AVILA (EL)";"920206204";"902424141";"";"920206235";"casasdegredos@diputacionavila.es";"www.casasgredos.com";"";"";"";"-5,5190736";"40,3578257";
"Casa Rural de Alquiler";"CASA LAS TUERCES";"Calle DE LA CONCEPCION, 7";"34815";"Palencia";"Pomar de Valdivia";"VILLALLANO";"VILLALLANO";"979123166";"979123166";"666965636";"";"";"www.casasdegamaylastuerces.com";"";"";"";"-4,2385952";"42,7647237";
"Casa Rural de Alquiler";"CASA LAVANDA";"C/ REAL, S/N";"24132";"León";"Riello";"PANDORADO";"PANDORADO";"679474236";"";"";"";"casaspandorado@gmail.com";"";"";"";"";"-5,9447454";"42,775092";
"Casa Rural de Alquiler";"CASA LOMBRAÑA";"Calle LA FUENTE, S/N.";"34486";"Palencia";"Cervera de Pisuerga";"PERAZANCAS DE OJEDA";"PERAZANCAS DE OJEDA";"979877183";"677827931";"";"";"";"";"";"";"";"-4,5077053";"42,8613702";
"Casa Rural de Alquiler";"CASA LOPEZ";"C/ CERRADA, 4";"37659";"Salamanca";"San Martín del Castañar";"SAN MARTIN DEL CASTAÑAR";"SAN MARTIN DEL CASTAÑAR";"923221818";"601220657";"";"";"casalopez@live.com";"www.casalopez.zxq.net";"";"";"";"-6,0643555";"40,521863";
"Casa Rural de Alojamiento Compartido";"CASA LUCIA";"NUEVA, 14";"37610";"Salamanca";"Mogarraz";"MOGARRAZ";"MOGARRAZ";"923418074";"";"";"";"";"";"";"";"";"-6,0523038";"40,4923914";
"Casa Rural de Alquiler";"CASA Mª LUZ";"HUMILLADERO, S/N";"37659";"Salamanca";"Casas del Conde (Las)";"CASAS DEL CONDE (LAS)";"";"91 6945598";"923 437417";"";"";"";"";"";"";"";"-6,0412706";"40,5077673";
"Casa Rural de Alojamiento Compartido";"CASA MANOLI";"Calle CAMINO DE LA FUENTE GRANDE 7";"37660";"Salamanca";"Miranda del Castañar";"MIRANDA DEL CASTAÑAR";"MIRANDA DEL CASTAÑAR";"923432417";"659357532";"";"923432417";"";"";"";"";"";"-5,997075";"40,481896";
"Hotel Rural";"CASA MEDIAVILLA";"Calle EL CORTIJO, S/N.";"34839";"Palencia";"Cervera de Pisuerga";"LIGUERZANA";"LIGUERZANA";"979877636";"649482367";"";"";"";"";"";"";"";"-4,5077053";"42,8613702";
"Casa Rural de Alquiler";"CASA MOLINERO";"ALONSO MUÑOZ, 8";"42140";"Soria";"San Leonardo de Yagüe";"SAN LEONARDO DE YAGÜE";"SAN LEONARDO DE YAGÜE";"975376331";"600627018";"";"";"";"www.casamolinero.es";"";"";"";"-3,0741783";"41,8327012";
"Casa Rural de Alquiler";"MOLINO DE MATAZORITA I";"Calle PAGO DE MATAZORITA, S/N";"34111";"Palencia";"Villaluenga de la Vega";"BARRIOS DE LA VEGA";"BARRIOS DE LA VEGA";"979747494";"686699162";"629661582";"";"molinomatazorita@ono.com";"www.molinomatazorita.com";"";"";"";"-4,7669926";"42,5241645";
"Casa Rural de Alquiler";"LA CASA DE PACO MARTIN";"EL POZO,12";"40181";"Segovia";"Turégano";"CUESTA (LA)";"CUESTA (LA)";"921404367";"609105086";"";"";"evamartinsp@hotmail.com";"";"";"";"";"-3,9968603";"41,1150169";
"Casa Rural de Alquiler";"CASA PEPON";"LA CALLEJA, 28";"24430";"León";"Vega de Espinareda";"VEGA DE ESPINAREDA";"";"987568657";"606517537";"";"";"";"";"";"";"";"-6,655783";"42,727378";
"Casa Rural de Alquiler";"CASA PRINCIPAL DERECHA";"PLAZA, S/N";"24414";"León";"Ponferrada";"ESPINOSO DE COMPLUDO";"ESPINOSO DE COMPLUDO";"987695439";"699227698";"";"";"";"www.espinoso.org";"";"";"";"-6,6007499";"42,5484905";
"Casa Rural de Alquiler";"CASA ROGELIA";"LA CALLEJA, S/N";"24430";"León";"Vega de Espinareda";"VEGA DE ESPINAREDA";"VEGA DE ESPINAREDA";"987568657";"606517537";"";"";"";"";"";"";"";"-6,655783";"42,727378";
"Casa Rural de Alquiler";"CASA ROJA ""A""";"BARRIO DE ABAJO";"34811";"Palencia";"Aguilar de Campoo";"CANDUELA";"CANDUELA";"979122000";"979122552";"";"979122552";"reservas@posadasantamarialareal.com";"www.posadasantamarialareal.com";"";"";"";"-4,272319";"42,7899486";
"Casa Rural de Alquiler";"CASA SANTOLINA";"C/ REAL, S/N";"24132";"León";"Riello";"PANDORADO";"PANDORADO";"679474236";"";"";"";"casaspandorado@gmail.com";"";"";"";"";"-5,9447454";"42,775092";
"Casa Rural de Alojamiento Compartido";"CASA SIMON";"DEL RIO S/N";"34843";"Palencia";"Cervera de Pisuerga";"ARBEJAL";"ARBEJAL";"979870727";"677672161";"";"";"";"www.casa-simon.com";"";"Si";"";"-4,4977637";"42,868001";
"Casa Rural de Alquiler";"CASA TARABAS";"PZA. LA ENCINA, 10";"34850";"Palencia";"Castrejón de la Peña";"CASTREJON DE LA PEÑA";"CASTREJON DE LA PEÑA";"979877155";"696333275";"";"";"tarabas93@hotmail.com";"www.casaruraltarabas.com";"";"";"";"-4,5999746";"42,8084496";
"Casa Rural de Alquiler";"CASA TERESA";"C/ BARRIO NUEVO, 11";"37658";"Salamanca";"Villanueva del Conde";"VILLANUEVA DEL CONDE";"VILLANUEVA DEL CONDE";"923437576";"667264613";"";"";"casateresa@casasenbatuecas.com";"www.casasenbatuecas.com";"";"";"";"-6,0119728";"40,5128111";
"Casa Rural de Alquiler";"CASA VALDENIEVAS";"CALLE CHICA, 3";"34842";"Palencia";"Triollo";"VIDRIEROS";"VIDRIEROS";"979866163";"979870471";"";"";"";"";"";"";"";"-4,6648143";"42,9423824";
"Casa Rural de Alquiler";"CASA VICTORIA 1";"ELOY BULLON, 21 IZDA";"37656";"Salamanca";"Cepeda";"CEPEDA";"CEPEDA";"923 432116";"";"";"";"";"";"";"";"";"-6,0402395";"40,4657541";
"Casa Rural de Alquiler";"CASA VICTORIA 2";"ELOY BULLON, 21 DRCHA";"37656";"Salamanca";"Cepeda";"CEPEDA";"CEPEDA";"923 432116";"";"";"";"";"";"";"";"";"-6,0402395";"40,4657541";
"Casa Rural de Alquiler";"CASAS DE GAMA LOS  TEJOS";"Calle REAL, S/N.";"34815";"Palencia";"Aguilar de Campoo";"GAMA";"GAMA";"979123166";"666965636";"";"";"";"www.casasdegamaylastuerces.com";"";"";"";"-4,2990678";"42,7628876";
"Casa Rural de Alquiler";"CASAS DE GAMA LOS ALAMOS";"Calle REAL. S/N.";"34815";"Palencia";"Aguilar de Campoo";"GAMA";"GAMA";"979123166";"666965636";"";"";"";"www.casasdegamaylastuerces.com";"";"";"";"-4,2990678";"42,7628876";
"Centro de Turismo Rural";"EL CASERON DE FUENTES CARRIONAS";"BAJERA, S/N";"34888";"Palencia";"Velilla del Río Carrión";"CARDAÑO DE ABAJO";"CARDAÑO DE ABAJO";"979866502";"630680378";"";"";"elcaseron@teleline.es";"www.elcaserondefuentescarrionas.com";"";"";"";"-4,7640226";"42,9202392";
"Casa Rural de Alquiler";"EL CASUCO";"Calle Palombar";"34847";"Palencia";"Pernía (La)";"SANTA MARIA DE REDONDO";"SANTA MARIA DE REDONDO";"979870758";"934196932";"";"";"demie000@aranzadi.es";"";"";"";"";"-4,4884098";"42,9928396";
"Centro de Turismo Rural";"EL CAZ DEL MOLINO";"DEL CAZ, 10";"40514";"Segovia";"Ayllón";"SALDAÑA DE AYLLON";"SALDAÑA DE AYLLON";"921555186";"660761703";"";"";"";"";"";"Si";"";"-3,4228271";"41,3856992";
"Casa Rural de Alojamiento Compartido";"CLAUDIA I";"DERECHA, 3";"37660";"Salamanca";"Miranda del Castañar";"MIRANDA DEL CASTAÑAR";"MIRANDA DEL CASTAÑAR";"923432369";"923212292";"";"";"casaclaudia@sierradefrancia.com";"www.casaclaudia.es";"";"Si";"";"-5,9997878";"40,4845077";
"Casa Rural de Alquiler";"CLOTILDE";"ALTOZANO, 5";"37658";"Salamanca";"Garcibuey";"GARCIBUEY";"";"923 187529";"923 437495";"";"";"miguelmartin@amena.com";"http://www.galeon.com/turismo_rural/";"";"";"";"-5,9930315";"40,5159967";
"Casa Rural de Alquiler";"EL CORRAL";"TRAVESIA DE LA CRUZ, S/N";"05635";"Ávila";"Navarredonda de Gredos";"NAVARREDONDA DE GREDOS";"NAVARREDONDA DE GREDOS";"920348076";"920348052";"";"920 348052";"";"";"";"Si";"";"-5,1355014";"40,3623099";
"Casa Rural de Alquiler";"EL CORRAL DE ESCUELA";"SANTA ISABEL, 17";"47318";"Valladolid";"Peñafiel";"MELIDA";"MELIDA";"653847711";"983470917";"";"";"javier@turismorural-penafiel.com";"www.turismorural-penafiel.com";"";"Si";"";"";"";
"Casa Rural de Alquiler";"CUBILLO";"Calle LA CARRETERA S/N";"34404";"Palencia";"Cervera de Pisuerga";"PERAZANCAS DE OJEDA";"PERAZANCAS DE OJEDA";"979877432";"608439439";"";"";"";"";"";"";"";"-4,5004945";"42,8617157";
"Casa Rural de Alojamiento Compartido";"DE LA ABUELA";"CAMINO TORRESUSO, 41";"42341";"Soria";"Montejo de Tiermes";"MONTEJO DE TIERMES";"MONTEJO DE TIERMES";"975352003";"";"";"";"";"";"";"";"";"-3,1983309";"41,3684336";
"Casa Rural de Alquiler";"EL DESVAN (de baja temporalmente)";"VILLAR DE OTERO";"24434";"León";"Vega de Espinareda";"VILLAR DE OTERO";"VILLAR DE OTERO";"987689896";"606181437";"";"";"";"";"";"";"";"-6,6779226";"42,7644834";
"Centro de Turismo Rural";"DIAS DE LUNA";"CTRA. LEÓN- VILLABLINO, 24";"24145";"León";"Sena de Luna";"SENA DE LUNA";"SENA DE LUNA";"987597767";"";"";"";"turismorural@diasdeluna.com";"www.diasdeluna.com";"";"";"Si";"-5,4160868";"42,6004655";
