Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,equip_b_senalizacion_ext,equip_b_acceso_modo,equip_b_nombre,cerramiento_id,acc_id,acc_dis_id,equip_b_tiene_interes,equip_b_superficie_aprox,cerramiento_material_id,web,observatorio_tipo,observatorio_entorno,tipo_estructura_id,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,83583,12,true,false,,LVFOB00006,,2010-03-02T23:00:00Z,1995-01-14T23:00:00Z,1,true,,Observatorio Lagunas de la Casa del Parque VI,1,2,2,false,0,1,,1,Lagunas de Villafáfila,1,POINT (-5.59083654175993 41.853259467963703)
,,,,,,-1,-1,-1,,,83584,12,true,false,,LVFOB00007,,2010-03-02T23:00:00Z,1995-01-14T23:00:00Z,1,true,,Observatorio Lagunas de la Casa del Parque VII,1,2,2,false,0,1,,1,Lagunas de Villafáfila,1,POINT (-5.59083654175993 41.853259467963703)
,,,,,,-1,-1,-1,,,83585,12,true,false,,LVFOB00008,,2010-03-02T23:00:00Z,1995-01-14T23:00:00Z,1,true,,Observatorio Lagunas de la Casa del Parque VIII,1,2,2,false,0,1,,1,Lagunas de Villafáfila,1,POINT (-5.590601470071786 41.852317721824754)
,,,,,,-1,-1,-1,,,83586,12,true,false,,LVFOB00009,,2010-03-02T23:00:00Z,1995-01-14T23:00:00Z,1,true,,Observatorio Lagunas de la Casa del Parque IX,1,2,2,false,0,1,,1,Lagunas de Villafáfila,1,POINT (-5.592426915726276 41.85235227033845)
,,,,,,-1,-1,-1,,,83587,12,true,false,,LVFOB00010,,2010-03-02T23:00:00Z,1995-01-14T23:00:00Z,1,true,,Observatorio Lagunas de la Casa del Parque X,1,2,2,false,0,1,,1,Lagunas de Villafáfila,1,POINT (-5.595921378504412 41.851894469166602)
,,,,,,-1,-1,-1,,,83588,12,true,false,,LVFOB00011,Telescopio gratuito,2010-03-02T23:00:00Z,2004-12-31T23:00:00Z,1,true,,Observatorio Laguna Revellinos,3,1,1,false,0,3,,1,Laguna Revellinos,1,POINT (-5.56033223190373 41.862963668096754)
,,,,,,-1,-1,-1,,,83589,12,true,false,,LVFOB00012,Telescopio gratuito,2010-03-02T23:00:00Z,2004-12-31T23:00:00Z,1,true,,Observatorio Laguna San Pedro,3,1,1,false,0,3,,1,Laguna San Pedro,1,POINT (-5.638946461143241 41.802150239355093)
,,,,,,-1,-1,-1,,,83590,12,true,false,,LVFOB00013,Telescopio gratuito,2010-03-02T23:00:00Z,1992-12-31T23:00:00Z,1,true,,Observatorio Laguna Grande,3,1,2,false,0,11,,1,Lagunas de Villafáfila,1,POINT (-5.605635547921871 41.824227919847246)
,,,,,,-1,-1,-1,,,84217,12,true,false,,MOBOB00001,,2011-06-11T22:00:00Z,2006-10-13T22:00:00Z,1,true,,Observatorio de aves Sobrón,3,2,1,false,0,7,,1,Embalse Sobrón,5,POINT (-3.203303738537414 42.76683702560392)
,,,,,,-1,-1,-1,,,85065,12,true,false,,NCPOB00001,Estructura de madera,2010-02-25T23:00:00Z,2001-05-16T22:00:00Z,1,true,,Observatorio del Prao,4,3,2,false,0,4,,1,La Laguna de la Nava,2,POINT (-4.747407281029771 42.061269779446299)
,,,,,,-1,-1,-1,,,85066,12,true,false,,NCPOB00002,Adaptación asistida con rampa.,2010-02-25T23:00:00Z,2001-05-16T22:00:00Z,1,true,,Observatorio Colada de Carrepalencia,4,3,1,false,0,4,,1,La Laguna de la Nava,1,POINT (-4.742975081082341 42.064065484644829)
,,,,,,-1,-1,-1,,,85067,12,true,false,,NCPOB00003,Puesto de observación adaptado para personanas con discapacidad.,2010-02-01T23:00:00Z,2001-05-16T22:00:00Z,1,true,,Observatorio Corralillos,4,3,1,false,0,4,,1,La Laguna de la Nava,1,POINT (-4.765481456523939 42.073237221767457)
,,,,,,-1,-1,-1,,,85068,12,true,false,,NCPOB00004,,2010-02-28T23:00:00Z,2001-05-16T22:00:00Z,1,true,,Punto de observación Confitero,4,3,2,false,0,4,,1,La Laguna de la Nava,2,POINT (-4.740842454433073 42.068079244968125)
,,,,,,-1,-1,-1,,,85069,12,true,false,,NCPOB00005,,2010-03-01T23:00:00Z,2001-05-16T22:00:00Z,1,true,,Punto de observación Cantarranas,3,3,2,false,0,9,,1,La Laguna de la Nava,3,POINT (-4.750728933128301 42.060156419648713)
,,,,,,-1,-1,-1,,,85070,12,true,false,,NCPOB00006,Tiene una rampa y puesto para personas con dicapacidad,2010-03-02T23:00:00Z,2001-05-16T22:00:00Z,1,true,,Observatorio de la Güera,1,3,1,false,0,1,,1,La Laguna de la Nava,1,POINT (-4.732089168014783 42.051582613044893)
,,,,,,-1,-1,-1,,,85071,12,true,false,,NCPOB00007,Asociado a Laguna de Pedraza,2010-03-03T23:00:00Z,2001-05-16T22:00:00Z,3,true,,Observatorio Laguna de Pedraza,3,1,1,false,0,7,,1,Laguna de Pedraza,1,POINT (-4.751886190690218 42.000807427415552)
,,,,,,-1,-1,-1,,,85072,12,true,false,,NCPOB00008,,2010-03-04T23:00:00Z,2001-05-16T22:00:00Z,3,true,,Observatorio Laguna de Boada,3,3,1,false,0,7,,1,Laguna de Boada,1,POINT (-4.86798708050195 41.982974876820911)
,,,,,,-1,-1,-1,,,86008,12,true,false,,PEUOB00002,,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Punto de Observación de Aves Vega de Burón,4,3,2,false,0,4,,1,,3,POINT (-5.041223633570065 43.02129332046907)
,,,,,,-1,-1,-1,,,86009,12,true,false,,PEUOB00003,,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Punto de Observación de Aves Vega de Pedrosa,4,3,2,false,0,4,,1,,3,POINT (-4.96224400281335 42.973699493967182)
,,,,,,-1,-1,-1,,,88858,12,true,false,,RCDOB00001,"Situado sobre la lámina de agua del embalse de San José del Duero (Castronuño) y por tanto de la Confederación Hidrográfica del Duero, aunque el mirador-observatorio es de propiedad de la Consejería",2009-11-08T23:00:00Z,2002-04-10T22:00:00Z,3,false,,Observatorio de aves Senda Los Almendros,1,3,1,false,0,1,,1,Tramo del Río Duero,1,POINT (-5.267731208490713 41.394267965153226)
,,,,,,-1,-1,-1,,,89575,12,true,false,,VLIOB00001,Caseta de madera,2010-01-10T23:00:00Z,1997-06-16T22:00:00Z,3,true,,Observatorio La Lancha de las Víboras,1,3,2,false,0,1,,1,Valle de Iruelas,1,POINT (-4.578338208928098 40.404350382972922)
