Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,equip_b_senalizacion_ext,equip_b_acceso_modo,equip_b_nombre,cerramiento_id,acc_id,acc_dis_id,equip_b_tiene_interes,equip_b_superficie_aprox,cerramiento_material_id,web,aparcamiento_firme,aparcamiento_delimitacion,aparcamiento_aparcabicicletas,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,76217,5,true,true,,BSFAP00012,,2010-03-04T23:00:00Z,2009-01-14T23:00:00Z,1,true,"Este aparcamiento se encuentra antes de llegar al alto de la Peña de Francia, en el cruce con la carretera de va a Monsagro, junto al mirador de El Paso de los Lobos.",Paso de los Lobos,3,1,1,false,80,11,,1,true,false,POINT (-6.176393955621271 40.508843893186075)
,,,,,,-1,-1,-1,,,76218,5,true,true,,BSFAP00013,,2010-03-04T23:00:00Z,2009-01-14T23:00:00Z,1,true,"Este aparcamiento está situado en el alto de la Peña de Francia, a ésta se accede desde el Cabaco por la carretera SA-201 (El Cabaco-La Alberca), a unos 3 Km de El Cabaco se coge la carretera SA-203 (subida a la Peña de Francia).",Peña de Francia,3,1,1,false,600,11,,1,true,false,POINT (-6.169484988183358 40.513447828050694)
,,,,,,-1,-1,-1,,,76219,5,true,true,,BSFAP00014,,2010-03-04T23:00:00Z,2009-01-14T23:00:00Z,1,true,"Este aparcamiento está a 1 km del pueblo de Mogarraz por la carretera que va desde esta población a la población de Miranda del Castañar, junto al merendero que lleva el mismo nombre.",Peña La Cabra,4,1,2,false,50,4,,3,true,false,POINT (-6.040273689998518 40.492825448792061)
,,,,,,-1,-1,-1,,,76220,5,true,true,,BSFAP00015,,2010-03-04T23:00:00Z,2009-01-14T23:00:00Z,1,true,"Este aparcamiento está ubicado en la carretera que va desde Mogarraz a la población de Las Casas del Conde, a unos 3,8 km de la población de Mogarraz, junto al área recreativa de Peñalvo.",Peñalvo,4,1,2,false,50,11,,3,true,false,POINT (-6.045554326949947 40.504917952532246)
,,,,,,-1,-1,-1,,,76221,5,true,true,,BSFAP00016,,2010-03-04T23:00:00Z,2009-01-14T23:00:00Z,1,true,"Este aparcamiento se encuentra a unos 3 km de el pueblo de El Cabaco. Está situada en la carretera SA-203, carretera que sube a la Peña de Francia y a la que se accede por la carretera SA-201 (El Cabaco-La Alberca). Está ubicado junto al área recreativa d",Río Gabín,3,1,1,false,150,11,,3,true,false,POINT (-6.138565371933456 40.540543970362471)
,,,,,,-1,-1,-1,,,77549,5,true,true,,CRLAP00001,Próxima ampliación. Punto mínimo de información,2010-04-15T22:00:00Z,2005-01-14T23:00:00Z,1,true,Carretera So-920 pk16,Casa del Parque,1,1,1,true,0,1,,4,true,false,POINT (-3.048814118400744 41.722109021160158)
,,,,,,-1,-1,-1,,,77550,5,true,true,,CRLAP00002,Punto de información y punto minimo de información.,2010-04-15T22:00:00Z,2005-01-14T23:00:00Z,1,true,Pista forestal de entrada al Cañón desde El Nacedero.,Cueva Fría,1,1,1,true,0,1,,1,true,false,POINT (-3.054104809992457 41.738158757001884)
,,,,,,-1,-1,-1,,,77551,5,true,true,,CRLAP00003,Los contenedores los recoge Eurofor. Tiene una fuente,2010-04-15T22:00:00Z,2005-01-14T23:00:00Z,1,true,Pista forestal de entrada al Cañón desde El Nacedero.,Valdecea,1,1,1,true,0,1,,1,true,true,POINT (-3.060208869229427 41.74583866686875)
,,,,,,-1,-1,-1,,,77552,5,true,true,,CRLAP00004,Tiene fuente y área recreativa.,2010-04-15T22:00:00Z,2005-01-14T23:00:00Z,1,true,Camino Agricola desde Hontoria,Agualinos,1,1,1,true,0,1,,1,true,true,POINT (-3.155565787629659 41.843753045283208)
,,,,,,-1,-1,-1,,,77553,5,true,true,,CRLAP00005,No hay contenedores,2010-04-15T22:00:00Z,2005-01-14T23:00:00Z,1,true,Pista forestal de entrada al Cañón desde Hontoria,Castro,3,1,1,true,0,11,,1,true,false,POINT (-3.159281765888539 41.84134313399074)
,,,,,,-1,-1,-1,,,77554,5,true,true,,CRLAP00006,"Punto mínimo de información, Punto de agua y Helipuerto. Da servicio a área recreativa",2010-04-15T22:00:00Z,2009-01-14T23:00:00Z,1,true,Carretera so-960 pk5,Siete Ojos,2,1,1,true,0,11,,1,true,true,POINT (-3.106800368463013 41.794497369943414)
,,,,,,-1,-1,-1,,,77555,5,true,true,,CRLAP00007,Tiene fuente y da servicio al área recreativa.,2010-04-15T22:00:00Z,2009-01-14T23:00:00Z,1,false,Pista forestal de entrada al Cañón desde El Nacedero.,Fuente Engomez,1,1,1,true,0,1,,1,false,false,POINT (-3.047775845767346 41.733306800059822)
,,,,,,-1,-1,-1,,,77556,5,true,true,,CRLAP00008,Da servicio al mirador,2010-04-15T22:00:00Z,2005-01-14T23:00:00Z,1,true,Carretera so-960 pk8,Lastrilla,1,1,2,true,0,1,,1,false,false,POINT (-3.127326424596297 41.780254669077998)
,,,,,,-1,-1,-1,,,77557,5,true,true,,CRLAP00009,Da servicio a la cueva de La Galiana y El Nacedero,2010-04-15T22:00:00Z,2005-01-14T23:00:00Z,1,false,Carretera so-920,Nacedero,1,1,2,true,0,1,,5,false,false,POINT (-3.045373568471849 41.732895126984431)
,,,,,,-1,-1,-1,,,77558,5,true,true,,CRLAP00010,Da servicio al mirador de La Galiana,2010-04-15T22:00:00Z,2009-01-14T23:00:00Z,1,true,Carretera So-920 km20,La Galiana,2,1,1,true,0,11,,5,true,false,POINT (-3.042015138399915 41.731822898144301)
,,,,,,-1,-1,-1,,,78523,5,true,true,false,FCCAP00006,Aparcamiento a pie de carretera.Su forma es alargada . Talanquera de madera que delimita el frente del aparcamiento y murete de piedra que delimita las diferentes zonas del parking. Otras dotaciones: caseta para contenedor.,2010-01-10T23:00:00Z,2009-12-20T23:00:00Z,1,true,,Aparcamiento Senda de la Tejeda de Tosande,3,1,1,false,928,2,,1,true,true,POINT (-4.516448505646919 42.825847917240694)
,,,,,,-1,-1,-1,,,78524,5,true,true,false,FCCAP00007,Aparcamiento que da servicio al Mirador de Alba de los Cardaños.,2010-01-17T23:00:00Z,2009-12-28T23:00:00Z,1,true,,Aparcamiento Mirador Alba de los Cardaños,3,1,1,false,280,7,,7,true,true,POINT (-4.72550797633371 42.908504011866633)
,,,,,,-1,-1,-1,,,78525,5,true,true,false,FCCAP00008,,2009-12-17T23:00:00Z,2000-07-26T22:00:00Z,1,true,,Aparcamiento Mirador Las Matas,3,1,1,false,75,9,,6,true,true,POINT (-4.488052030010882 42.887940721312404)
,,,,,,-1,-1,-1,,,78522,5,true,true,false,FCCAP00005,Aparcamiento que da servicio al Mirador de Piedrasluengas. Talanquera de madera de sabina anclada sobre el murete de piedra.,2009-12-17T23:00:00Z,2008-08-26T22:00:00Z,1,true,,Aparcamiento Piedrasluengas,3,1,1,false,0,3,,6,true,true,POINT (-4.458515983948527 43.041459930135836)
,,,,,,-1,-1,-1,,,78520,5,true,true,false,FCCAP00003,Aparcamiento al inicio de la Senda de Fuente Cobre. Plazas delimitadas con bordillos de piedra. Aparcabicicletas metálico. Otras dotaciones: Caseta ccontenedor de basura.,2010-01-17T23:00:00Z,2009-03-11T23:00:00Z,1,true,,Aparcamiento de Fuente Cobre,3,1,1,false,0,23,,1,true,true,POINT (-4.429027323929489 42.991626278323544)
,,,,,,-1,-1,-1,,,88832,5,true,false,false,RCDAP00002,,2011-06-12T22:00:00Z,2009-11-08T23:00:00Z,1,true,,Escenario Deportivo Social de Pesca,2,1,1,false,2000,9,,1,true,false,POINT (-5.252006619270307 41.402083984233904)
,,,,,,-1,-1,-1,,,85142,5,true,true,false,OJGAP00001,"Da servicio a Casa del Parque, Senda Botánica del Vivero Forestal y Sendas PR-Bu37;PR-Bu38; PR-Bu39; PR-Bu40. Cuenta con bancos corridos de madera. Panel información infraestructuras. Escultura y placa identificativa. Iluminación.",2010-06-30T22:00:00Z,2005-11-30T23:00:00Z,1,true,Carretera asfaltada BU-526 de la Junta. Comunica Bercedo de Montija con Soncillo. Raqueta de acceso al aparcamiento.,Casa del Parque Ojo Guareña,3,1,1,false,2400,9,,14,true,false,POINT (-3.62763756626062 43.05710816630291)
,,,,,,-1,-1,-1,,,78519,5,true,true,false,FCCAP00002,Aparcamiento que da servicio a la Senda de Ursi. Delimitación con talanqueras de madera. Otras dotaciones: caseta para contenedor.,2009-12-17T23:00:00Z,2009-03-12T23:00:00Z,1,true,,Aparcamiento de la Senda de Ursi,3,1,1,false,750,9,,6,true,true,POINT (-4.311879723097435 42.889059849544481)
,,,,,,-1,-1,-1,,,78526,5,true,true,false,FCCAP00009,Aparcamiento al inicio de la Senda del Roblón de la Estalaya. Delimitado por bordillo de piedra. Otras dotaciones:,2009-12-17T23:00:00Z,2006-07-11T22:00:00Z,1,true,,Aparcamiento Senda Roblón Estalaya,3,1,1,false,1700,3,,1,true,true,POINT (-4.472175404493381 42.924237734955106)
,,,,,,-1,-1,-1,,,78528,5,true,true,false,FCCAP00011,"Aparcamiento al inicio de la senda del pinar de Velilla. Plazas de aparcamiento delimitadas por pequeños bordillos de piedra de coloración rojiza de aproximadamente 1,5 m de longitud. Barandilla de madera de roble formada por 25 módulos de 1,06 m. Otras dotaciones: Muro de piedra para contención del talud.",2009-12-17T23:00:00Z,2006-08-01T22:00:00Z,1,true,,Aparcamiento Pinar de Velilla,3,1,1,false,360,3,,6,true,true,POINT (-4.832976378797932 42.850492081038723)
,,,,,,-1,-1,-1,,,78529,5,true,true,false,FCCAP00012,,2009-12-17T23:00:00Z,2000-07-26T22:00:00Z,1,true,Aparcamiento al inicio de la Senda del Gigante del Valle Estrecho.,Aparcamiento de la Senda del Gigante del Valle Estrecho,2,1,1,false,0,9,,1,true,true,POINT (-4.62926605311747 42.903505206024164)
,,,,,,-1,-1,-1,,,78530,5,true,true,false,FCCAP00013,"Aparcamiento al inicio de la Senda de las Lomas, situado en el pueblo de Cardaño de Arriba. Las plazas están delimitadas por bordillos de piedra. Otras dotaciones:",2009-12-17T23:00:00Z,2009-01-08T23:00:00Z,1,true,,Aparcamiento Senda Pozo de las Lomas,3,1,1,false,600,3,,1,true,true,POINT (-4.757592731374638 42.970925245763219)
,,,,,,-1,-1,-1,,,78527,5,true,false,false,FCCAP00010,,2009-12-17T23:00:00Z,2000-07-26T22:00:00Z,1,true,,Aparcamiento del Mirador de la Penilla,1,1,1,false,0,1,,1,true,true,POINT (-4.526885311733107 42.864746073575546)
,,,,,,-1,-1,-1,,,78531,5,true,true,false,FCCAP00014,Aparcamiento situado al inicio de la Senda de Mazobre. Otras dotaciones:,2009-12-17T23:00:00Z,2006-07-31T22:00:00Z,1,true,,Aparcamiento Senda Mazobre,3,1,1,false,540,3,,1,true,true,POINT (-4.761823529104131 42.951175812993547)
,,,,,,-1,-1,-1,,,72317,5,true,false,false,AGRAP00001,,2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,2,true,Entrada principal del Acebal,Aparcamiento del Acebal,1,1,1,true,0,1,,1,true,false,POINT (-2.420586991636247 41.964635412377319)
,,,,,,-1,-1,-1,,,79044,5,true,false,,FNTAP00001,Sí,2010-05-27T22:00:00Z,2005-01-14T23:00:00Z,1,true,Casa del parque,Casa del Sabinar,1,1,1,true,0,4,,7,true,true,POINT (-2.85655988541588 41.723490646827614)
,,,,,,-1,-1,-1,,,79045,5,false,false,,FNTAP00002,Sí,2010-05-27T22:00:00Z,1998-11-11T23:00:00Z,1,true,Entrada del pueblo,Casa del Sabinar (aparcamiento entrada Muriel),1,1,1,true,0,4,,5,false,false,POINT (-2.858155866064334 41.724870698391804)
,,,,,,-1,-1,-1,,,79046,5,false,false,,FNTAP00003,Sí,2010-05-27T22:00:00Z,1998-11-11T23:00:00Z,1,false,Inicio pista a Casa del parque,Casa de Sabinar (aparcamiento de la entrada en la carretera),1,1,1,true,0,4,,7,false,false,POINT (-2.856747186033473 41.725769650337284)
,,,,,,-1,-1,-1,,,79047,5,false,false,,FNTAP00005,Sí,2010-05-27T22:00:00Z,2005-01-14T23:00:00Z,1,false,Pista de La Fuentona,Ermita de la Virgen del Valle,1,1,3,true,0,4,,1,false,false,POINT (-2.85777386209974 41.727122517623613)
,,,,,,-1,-1,-1,,,79048,5,true,false,,FNTAP00011,Sí,2010-05-27T22:00:00Z,2010-01-14T23:00:00Z,1,true,Pista de La Fuentona,Aparcamiento de la Fuentona,1,1,1,true,0,4,,1,true,false,POINT (-2.858869253313555 41.730923375179195)
,,,,,,-1,-1,-1,,,79166,5,true,false,,HERAP00001,,2010-05-03T22:00:00Z,2004-08-25T22:00:00Z,1,true,,Pesquera de Ebro,1,1,1,false,0,1,,1,false,false,POINT (-3.721029199260668 42.799278985887454)
,,,,,,-1,-1,-1,,,79167,5,true,false,,HERAP00002,Es parte del área recreativa de San Felices del Rudrón,2010-05-03T22:00:00Z,2004-08-25T22:00:00Z,1,false,Carretera N-623,San Felices del Rudrón,1,1,1,false,0,1,,5,false,false,POINT (-3.802098011160453 42.752228979661353)
,,,,,,-1,-1,-1,,,79168,5,true,false,,HERAP00003,,2010-05-03T22:00:00Z,2004-08-25T22:00:00Z,3,false,,Aparcamiento del mirador de San Felices del Rudrón,1,1,2,false,0,1,,3,false,false,POINT (-3.80463986889708 42.760707891498058)
,,,,,,-1,-1,-1,,,79169,5,true,false,,HERAP00004,,2010-05-03T22:00:00Z,2004-08-25T22:00:00Z,1,true,,Valderateja,1,1,2,false,0,1,,1,false,false,POINT (-3.769689813159881 42.775959959592001)
,,,,,,-1,-1,-1,,,79170,5,true,false,,HERAP00005,,2010-05-03T22:00:00Z,2004-08-25T22:00:00Z,3,true,,Aparcamiento autobuses Valderateja,1,1,1,false,0,1,,1,false,false,POINT (-3.766264594509206 42.779424537203575)
,,,,,,-1,-1,-1,,,79171,5,true,false,,HERAP00006,Zona aparcamiento cerca eremitorio de Argés. Sin señalizar. Terreno propiedad del Ayto.,2010-05-08T22:00:00Z,2004-08-25T22:00:00Z,3,false,,Aparcamiento próximo a eremitorio de Argés,4,1,2,false,0,4,,6,false,false,POINT (-3.66886614173149 42.890921821103824)
,,,,,,-1,-1,-1,,,79172,5,true,false,,HERAP00007,,2010-05-28T22:00:00Z,2004-08-25T22:00:00Z,1,false,,Aparcamiento en Cueva de M,4,1,2,false,0,4,,1,false,false,POINT (-3.709472969739967 42.903419589757902)
,,,,,,-1,-1,-1,,,79173,5,true,false,,HERAP00008,,2010-05-16T22:00:00Z,2004-08-25T22:00:00Z,3,false,,Aparcamiento anexo a Ailanes,4,1,2,false,0,4,,6,false,false,POINT (-3.74295994006666 42.866466279450812)
,,,,,,-1,-1,-1,,,79174,5,true,false,,HERAP00009,,2010-06-15T22:00:00Z,2004-08-25T22:00:00Z,1,false,,Aparcamiento Cuevas de Piscarcio,1,1,2,false,0,1,,3,true,false,POINT (-3.775729146775824 42.94733965632696)
,,,,,,-1,-1,-1,,,79175,5,true,false,,HERAP00010,,2010-06-15T22:00:00Z,2004-08-25T22:00:00Z,3,false,,Aparcamiento Cuevas de Piscarcio,1,1,2,false,0,1,,3,true,false,POINT (-3.775224493861694 42.930566708531408)
,,,,,,-1,-1,-1,,,79176,5,true,false,,HERAP00011,,2010-06-15T22:00:00Z,2004-08-25T22:00:00Z,4,false,,Alto de Cielma,1,1,2,false,0,1,,3,true,false,POINT (-3.784015755632787 42.926103366966878)
,,,,,,-1,-1,-1,,,79177,5,true,false,,HERAP00012,,2010-06-15T22:00:00Z,2004-08-25T22:00:00Z,3,false,,Iglesia de Munilla,1,1,2,false,0,1,,3,true,false,POINT (-3.773601347603547 42.913477091647579)
,,,,,,-1,-1,-1,,,79178,5,true,false,,HERAP00014,,2010-06-15T22:00:00Z,2004-08-25T22:00:00Z,3,false,,Monumento de Sagardía,1,1,2,false,0,1,,3,true,false,POINT (-3.83131077693931 42.895683752244942)
,,,,,,-1,-1,-1,,,81537,5,true,false,false,LGNAP00001,,2010-05-25T22:00:00Z,2008-12-08T23:00:00Z,1,false,Dirección Lagunas Glaciares,Peña Aguda,1,1,1,false,150,1,,5,false,false,POINT (-3.042762749658858 42.046315680874066)
,,,,,,-1,-1,-1,,,79179,5,true,false,,HERAP00013,,2010-06-15T22:00:00Z,2004-08-25T22:00:00Z,3,true,,Las Palancas,1,1,2,false,0,1,,1,true,false,POINT (-3.744071148515641 42.914114094244994)
,,,,,,-1,-1,-1,,,79180,5,true,false,,HERAP00012,Es particular y actualmente no está en uso,2010-05-05T22:00:00Z,2004-08-25T22:00:00Z,1,false,Carretera N-623,Covanera,1,1,1,false,0,1,,5,false,false,POINT (-3.802059856101347 42.735766222319967)
,,,,,,-1,-1,-1,,,80292,5,true,true,,HRDAP00001,,2010-02-11T23:00:00Z,2009-01-14T23:00:00Z,1,true,,San Frutos,2,1,2,true,10000,9,,1,true,true,POINT (-3.869057117978346 41.326801464465582)
,,,,,,-1,-1,-1,,,80293,5,true,true,,HRDAP00002,,2010-02-11T23:00:00Z,2009-01-14T23:00:00Z,1,true,,Talcano,3,1,1,true,1300,20,,1,true,true,POINT (-3.761428285028654 41.294583549555419)
,,,,,,-1,-1,-1,,,80294,5,true,true,,HRDAP00003,Hay un punto limpio del ayuntamiento,2010-02-11T23:00:00Z,2009-01-14T23:00:00Z,1,true,,Puente Grande,3,1,1,false,1300,9,,5,true,false,POINT (-3.757981423423441 41.295666709608909)
,,,,,,-1,-1,-1,,,80295,5,true,true,,HRDAP00004,,2010-02-11T23:00:00Z,2009-01-14T23:00:00Z,3,true,,Área recreativa de Sebúlcor,1,1,2,false,900,1,,1,false,false,POINT (-3.88904654286226 41.271995496030726)
,,,,,,-1,-1,-1,,,80579,5,true,false,,HRRAP00001,,2010-05-31T22:00:00Z,2004-03-11T23:00:00Z,1,true,"Desde la A-1, se toma la salida 146 en la localidad de Milagros y desde allí la carretera a Montejo de la Vega de la Serrezuela. Desde Aranda de Duero, se continúa por la N-1 hasta la localidad de Fuentespina. Allí seguiremos por la carretera la C-114 hasta la localidad de Fuentelcesped, donde tomaremos la carretera hasta Montejo de la Vega de la Serrezuela.",Casa del Parque,2,1,1,false,400,3,,7,true,true,POINT (-3.654773478324313 41.548467853406713)
,,,,,,-1,-1,-1,,,80580,5,true,false,,HRRAP00002,,2010-05-31T22:00:00Z,2005-10-14T22:00:00Z,1,true,"Partiendo de Montejo de la Vega de la Serrezuela, desde la plazuela del Puente Chico hacia la calle de la Cruz, pasamos a transitar por un camino ancho, de concentración parcelaria, que nos lleva hasta el cementerio de esta localidad. Más adelante, encontramos el aparcamiento donde podremos dejar el vehículo.",Fuente de la Vega,2,1,1,false,5000,9,,1,true,true,POINT (-3.643018799880926 41.549241588904053)
,,,,,,-1,-1,-1,,,80581,5,true,false,,HRRAP00003,,2010-06-30T22:00:00Z,2004-12-20T23:00:00Z,1,true,"Partiendo de Montejo de la Vega, cruzamos el puente de acceso a la localidad desde la carretera de Fuentelcesped y continuamos por el camino que encontramos a la izquierda, al lado del margen del río Riaza, durante aproximadamente un kilómetro doscientos metros.",La Pisadera,3,1,1,false,1220,9,,1,true,true,POINT (-3.663786448843059 41.547888154767691)
,,,,,,-1,-1,-1,,,80582,5,true,false,,HRRAP00004,,2010-05-31T22:00:00Z,2005-10-14T22:00:00Z,1,true,"Partiendo de Valdevacas de Montejo, desde la calle la Fuente, nos dirigimos hacia el camino del Convento de Casuar. Tras recorrer 650 metros desde el casco urbano de la localidad, encontramos a nuestra derecha el aparcamiento para vehículos.",Valdecasuar,3,1,1,false,1500,9,,1,true,true,POINT (-3.627454259925772 41.523071504190462)
,,,,,,-1,-1,-1,,,80583,5,true,false,,HRRAP00005,,2010-05-31T22:00:00Z,2005-10-14T22:00:00Z,1,true,Este aparcamiento está situado a catorce kilómetros de la localidad de Maderuelo. Se accede al mismo desde la carretera C-114 y tras recorrer 500 metros por el camino asfaltado que une dicha carretera con el pie de presa del embalse de Linares del Arroyo.,La Cantera,2,1,1,false,2000,10,,1,true,true,POINT (-3.559831393077331 41.539813910657408)
,,,,,,-1,-1,-1,,,80584,5,true,false,,HRRAP00006,,2010-05-31T22:00:00Z,2005-10-14T22:00:00Z,3,true,"Este aparcamiento está situado a dos kilómetros de la localidad de Maderuelo, en el margen derecho del embalse de Linares del Arroyo y su acceso se realiza desde la carretera C-114 en dirección a Aranda de Duero.",Las Hazas,3,1,2,false,1200,9,,3,true,true,POINT (-3.509697566398091 41.494383864547004)
,,,,,,-1,-1,-1,,,80585,5,true,false,,HRRAP00007,,2010-05-31T22:00:00Z,2005-10-14T22:00:00Z,3,true,"Este aparcamiento está situado a cuatro kilómetros y medio de la localidad de Maderuelo, en el margen izquierdo del embalse de Linares del Arroyo. Su acceso se realiza desde la antigua carretera que une Maderuelo con el apeadero del ferrocarril, ya en desuso.",La Cañada,3,1,2,false,2000,9,,3,true,true,POINT (-3.530720276915986 41.502591482545114)
,,,,,,-1,-1,-1,,,80586,5,true,false,,HRRAP00008,,2010-05-31T22:00:00Z,2009-11-14T23:00:00Z,1,true,"Partiendo de Maderuelo, en dirección al camino de los huertos, continuamos por dicho camino durante aproximadamente trescientos metros.",Los Huertos,3,1,1,false,1700,9,,8,true,true,POINT (-3.524861867133809 41.48634032933159)
,,,,,,-1,-1,-1,,,85774,5,true,true,false,PEUAP00001,,2010-04-25T22:00:00Z,1999-11-29T23:00:00Z,1,true,,Albergue de Maraña,1,1,2,false,0,1,,1,true,true,POINT (-5.183734012825449 43.049003275278977)
,,,,,,-1,-1,-1,,,81538,5,true,false,,LGNAP00002,,2011-06-08T22:00:00Z,2008-12-08T23:00:00Z,2,true,Dirección Lagunas Glaciares,Pasil de las Pardillas,2,1,1,false,350,9,,5,false,false,POINT (-3.034989875407092 42.045786861320934)
,,,,,,-1,-1,-1,,,81539,5,true,false,,LGNAP00003,,2011-06-08T22:00:00Z,2008-12-08T23:00:00Z,2,false,,Bifurcación Patos Negra,1,1,2,false,125,1,,5,false,false,POINT (-3.034881262854729 42.046039079047723)
