Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,equip_b_senalizacion_ext,equip_b_acceso_modo,equip_b_nombre,cerramiento_id,acc_id,acc_dis_id,equip_b_tiene_interes,equip_b_superficie_aprox,cerramiento_material_id,web,otro_punto_interes_tipo,otro_punto_interes_descripcion,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,72657,13,true,false,,ARDPI00016,Propiedad particular con cesión de uso público y del Ayto de Fariza,2010-06-16T22:00:00Z,2001-07-14T22:00:00Z,1,true,Camino,Molino Carrizo (Badilla),1,1,2,true,0,1,,2,"Molino situado en el tramo del GR 14 Badilla - Gamones en la rivera de Badilla utilizado para moler cereal para uso ganadero, actualmente en uso. Restaurado recientemente.",POINT (-6.251786319271809 41.452610210331514)
,,,,,,-1,-1,-1,,,72647,13,true,false,false,ARDPI00049,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,false,Carretera,Horno,1,1,2,true,0,1,,2,Horno tradicional (de pie derecho) cuya peculiaridad reside en que se encuentra en el exterior de la vivienda,POINT (-6.748921069854902 40.872111488666299)
,,,,,,-1,-1,-1,,,76563,13,true,true,false,BSFPI0017,,2010-07-06T22:00:00Z,2000-07-10T22:00:00Z,1,true,,Un balcón al sureste,1,3,2,true,0,1,,7,Una vista desde lo alto al Parque Natural,POINT (-6.05951360671741 40.470310663730565)
,,,,,,-1,-1,-1,,,76570,13,true,true,false,BSFPI0024,,2010-07-06T22:00:00Z,2000-07-10T22:00:00Z,1,true,,Puente de La Dehesa de Cepeda,1,3,2,true,0,1,,2,Puente Medieval de Cepeda,POINT (-6.045232036653795 40.457555593634957)
,,,,,,-1,-1,-1,,,72627,13,true,false,,ARDPI00023,Propiedad particular con cesión de uso público y del Ayto de Fariza,2010-06-16T22:00:00Z,2001-11-14T23:00:00Z,1,true,Camino,Molino Valmuyado (Badilla),1,1,2,true,0,1,,2,Molino situado en el tramo del GR 14 Badilla - Gamones en la rivera de Badilla utilizado para moler cereal. Restaurado recientemente.,POINT (-6.231969962070082 41.454421040321613)
,,,,,,-1,-1,-1,,,72628,13,true,false,,ARDPI00024,,2010-06-16T22:00:00Z,2002-02-14T23:00:00Z,1,true,Sendero,Molino El Cubo (Villadepera),1,2,2,true,0,1,,2,"Molino situado en la rivera del arroyo del Cubo para moler cereal, actualmente en desuso. Destaca la construcción de un sifón en forma de cubo por el que entra el agua al molino. Restaurado recientemente.",POINT (-6.133449276849516 41.556878581473825)
,,,,,,-1,-1,-1,,,72629,13,true,false,,ARDPI00025,Propiedad particular con cesión de uso público y del Ayto de Fariza,2010-06-16T22:00:00Z,2006-07-14T22:00:00Z,1,true,Sendero,Molino del Maestro (Fariza),1,2,2,true,0,1,,2,"Molino situado en el tramo del PR de la Ribera de los Molinos en la rivera del arroyo Pisón de Fariza, sin maquinaría. Restaurado recientemente solo el edificio.",POINT (-6.275888129303632 41.421585770139721)
,,,,,,-1,-1,-1,,,72630,13,true,false,,ARDPI00026,Propiedad particular con cesión de uso público y del Ayto de Moral de Sayago,2010-06-16T22:00:00Z,2006-08-14T22:00:00Z,1,true,Sendero,Molino del Puerto (Moral de Sayago),1,2,2,true,0,1,,2,"Molino situado en el tramo del GR 14 Moral - Villadepera, en la rivera de Moral utilizado para moler cereal para uso ganadero. Restaurado recientemente.",POINT (-6.090343691986232 41.473770788081104)
,,,,,,-1,-1,-1,,,72631,13,true,false,,ARDPI00027,Propiedad particular con cesión de uso público y del Ayto de Fariza,2010-06-16T22:00:00Z,2005-10-14T22:00:00Z,1,true,Sendero,Molino Facundo (Mámoles),1,2,2,true,0,1,,2,"Molino con cernidora situado en el tramo del PR Mámoles - Palazuelo, en la rivera de Mámoles utilizado para moler cereal para uso ganadero y para harina de consumo. Restaurado recientemente.",POINT (-6.297137623099484 41.390404046070948)
,,,,,,-1,-1,-1,,,72632,13,true,false,,ARDPI00028,Propiedad particular con cesión de uso público y del Ayto de Fariza,2010-06-16T22:00:00Z,2002-03-14T23:00:00Z,1,true,Sendero,Molino Matarrana (Cozcurrita),1,2,2,true,0,1,,2,"Molino situado en el tramo del GR 14 Cozcurrita - Fariza, en la rivera de Cozcurrita utilizado para moler cereal para uso ganadero. Restaurado recientemente.",POINT (-6.279432579067331 41.438271136325838)
,,,,,,-1,-1,-1,,,72633,13,true,false,,ARDPI00035,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Almazara de aceite de Ahigal de los Aceiteros,1,1,2,true,0,1,,2,Almazara de aceite en Ahigal de los Aceiteros,POINT (-6.74776049791252 40.872043784582473)
,,,,,,-1,-1,-1,,,72634,13,false,false,,ARDPI00036,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Bodega tradicional,1,1,2,true,0,1,,2,Bodega tradicional,POINT (-6.466941283320645 41.270314141613412)
,,,,,,-1,-1,-1,,,72635,13,true,false,,ARDPI00037,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Almazara de aceite de Hinojosa de Duero,1,1,2,true,0,1,,2,Almazara de aceite en Hinojosa de Duero,POINT (-6.797754815536173 40.984222513357132)
,,,,,,-1,-1,-1,,,72636,13,true,false,,ARDPI00038,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Pista,Almazara de aceite de Puerto Seguro,3,1,2,true,0,3,,2,Almazara de aceite en Puerto Seguro,POINT (-6.760649622300014 40.830059411344436)
,,,,,,-1,-1,-1,,,72637,13,false,false,,ARDPI00039,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Lagar de vino en Ahigal de los Aceiteros,1,1,2,true,0,1,,2,,POINT (-6.747337268382427 40.871927427717942)
,,,,,,-1,-1,-1,,,72638,13,true,false,,ARDPI00040,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,false,Carretera,Entorno de la ermita del Cristo,1,1,2,true,0,1,,4,Entorno de la ermita del Cristo,POINT (-6.799549930178008 40.914468616114334)
,,,,,,-1,-1,-1,,,72639,13,true,false,,ARDPI00029,Propiedad particular con cesión de uso público y del Ayto de Fariza,2010-06-16T22:00:00Z,2001-12-14T23:00:00Z,1,true,Camino,Molino Matarranas (Badilla),1,1,2,true,0,1,,2,"Edificio situado en el tramo del GR 14 Badilla - Gamones en la rivera de Badilla utilizado para moler cereal, actualmente en uso. Restaurado recientemente.",POINT (-6.241549055516671 41.454475429375385)
,,,,,,-1,-1,-1,,,72640,13,true,false,,ARDPI00030,,2010-06-16T22:00:00Z,2001-07-14T22:00:00Z,1,true,Camino,Molino Pachón,1,1,2,true,0,1,,2,"Edificio situado en el tramo del GR 14 Badilla - Cozcurrita en la rivera de Badilla utilizado para moler cereal, actualmente en uso. Restaurado recientemente.",POINT (-6.256865392353759 41.451250614242042)
,,,,,,-1,-1,-1,,,72641,13,true,false,,ARDPI00043,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Senda,Colmenar,3,1,2,true,0,3,,2,Colmenar,POINT (-6.737409721059174 41.118879866626777)
,,,,,,-1,-1,-1,,,72642,13,true,false,,ARDPI00044,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Senda,Corral de cabras,3,1,2,true,0,3,,2,Corral de cabras,POINT (-6.736694781662826 41.119928639042683)
,,,,,,-1,-1,-1,,,72643,13,true,false,,ARDPI00045,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Pista,Corral de lobos y corral de cabras,3,1,2,true,0,3,,2,Corral de lobos y Corral de cabras en Saucelle,POINT (-6.711112986336341 41.056094796065771)
,,,,,,-1,-1,-1,,,72644,13,true,false,,ARDPI00046,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Corral Tradicional de Trabanca,3,1,2,true,0,3,,2,Corral Tradicional en Trabanca,POINT (-6.388027120590983 41.232460622147812)
,,,,,,-1,-1,-1,,,72645,13,true,false,,ARDPI00047,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Estación de Aforos,1,1,2,true,0,1,,2,Estación de Aforos en Masueco,POINT (-6.565706857389561 41.200428819553686)
,,,,,,-1,-1,-1,,,72646,13,true,false,,ARDPI00048,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Fábrica de harinas de San Felices,3,1,2,true,0,3,,2,Fábrica de harinas en San Felices de los Gallegos,POINT (-6.710351099076962 40.847824854522308)
,,,,,,-1,-1,-1,,,72648,13,true,false,,ARDPI00031,Propiedad particular con cesión de uso público y del Ayto de Villardiegua,2010-06-16T22:00:00Z,2003-06-14T22:00:00Z,1,true,Sendero,Molino Recatán (Villardiegua),1,2,2,true,0,1,,2,"Edificio situado en el tramo del GR 14 Villardiegua - Torregamones en la rivera del arroyo Fenoya de Villardiegua, utilizado para moler cereal. Restaurado recientemente.",POINT (-6.230563151423126 41.520525683849051)
,,,,,,-1,-1,-1,,,72649,13,true,false,,ARDPI00051,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Pista,Molino de Felipe,1,1,2,true,0,1,,2,"Molino de Felipe, ""El Correo"" en Pereña",POINT (-6.5133023969719 41.196498423947489)
,,,,,,-1,-1,-1,,,72650,13,true,false,,ARDPI00052,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,,Pilar de La Bouza,1,1,2,true,0,1,,6,Pilar de nueva construcción en La Bouza,POINT (-6.811477714591829 40.827771028047998)
,,,,,,-1,-1,-1,,,72651,13,true,false,,ARDPI00054,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,,Pilón de Masueco,1,1,2,true,0,1,,6,Pilón tradicional recuperado en Masueco,POINT (-6.59343583736162 41.20164273596491)
,,,,,,-1,-1,-1,,,72652,13,true,false,,ARDPI00055,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Senda,Molino de la Luisa,1,1,2,true,0,1,,2,Molino de la Luisa en Vilvestre,POINT (-6.731922547420103 41.127076336831607)
,,,,,,-1,-1,-1,,,72653,13,true,false,,ARDPI00032,Propiedad particular con cesión de uso público y del Ayto de Moral de Sayago,2010-06-16T22:00:00Z,2006-08-14T22:00:00Z,1,true,Sendero,Molino Llagüalgué (Moral de Sayago),1,2,2,true,0,1,,2,"Molino situado en el tramo del GR 14 Moral - Villadepera, en la rivera de Moral utilizado para moler cereal para uso ganadero. Restaurado recientemente.",POINT (-6.092544702100639 41.47976344698489)
,,,,,,-1,-1,-1,,,72654,13,true,false,,ARDPI00033,,2010-06-16T22:00:00Z,2005-10-14T22:00:00Z,1,false,Camino,Potro de herrar,1,1,2,true,0,1,,2,Elemento tradicional habitual de la cultura agroganadera que se utilizaba para inmovilizar a las reses durante el herraje.,POINT (-6.184361009720361 41.598182861534596)
,,,,,,-1,-1,-1,,,72655,13,true,false,,ARDPI00058,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Pista,Molino de Santa Ana,3,1,2,true,0,2,,2,Molino de Santa Ana en San Felices de los Gallegos,POINT (-6.711749620491895 40.852338257451038)
,,,,,,-1,-1,-1,,,72656,13,true,false,,ARDPI00034,,2010-06-16T22:00:00Z,2002-03-14T23:00:00Z,1,true,Camino,Potro de herrar,1,1,2,true,0,1,,2,Elemento tradicional habitual de la cultura agroganadera que se utilizaba para inmovilizar a las reses durante el herraje.,POINT (-6.139702599243307 41.487922604320744)
,,,,,,-1,-1,-1,,,72607,13,true,false,,ARDPI00004,,2010-06-16T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Casa de Concejo (Fariza),1,1,2,true,0,1,,5,"Elemento tradicional habitual que hacía las funciones del ayuntamiento actual, localizado frente a la iglesia del pueblo de Fariza. Actualmente es la Oficina de información y gestión del Parque Natural Arribes del Duero y sede de la Fundación Tierra Ibéri",POINT (-6.26981468625061 41.419768484178441)
,,,,,,-1,-1,-1,,,72608,13,true,false,,ARDPI00007,,2010-06-16T22:00:00Z,2002-04-10T22:00:00Z,1,true,Camino,Ermita de San Cosme y San Damián (Tudera),1,1,2,true,0,1,,5,"Pequeña ermita situada en lo alto de una loma denominada La Torre, junto a la iglesia parroquial del pueblo de Tudera. Por su localización en lo alto de esta pequeña loma tiene unas vistas panorámicas muy interesantes del pueblo y de toda la campiña que l",POINT (-6.207705221886887 41.418717977171369)
,,,,,,-1,-1,-1,,,72609,13,true,false,,ARDPI00005,,2010-06-16T22:00:00Z,2002-04-10T22:00:00Z,1,true,Camino,Chivitero,3,1,2,true,0,3,,2,Pequeño chozo de piedra sin labrar y con una cubierta vegetal que sirven para proteger en su interior a los cabritos de las alimañas y del frío invierno. Situado en el Sendero PR Castro-Brandilanes. Recientemente ha sido restaurado,POINT (-6.199106237832922 41.598682637341206)
,,,,,,-1,-1,-1,,,72610,13,true,false,,ARDPI00006,,2010-06-16T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Ermita de las Eras,1,1,2,true,0,1,,5,"Pequeña ermita situada junto a las eras, a la entrada del pueblo de Castro de Alcañices que ha sido restaurada.",POINT (-6.184643681202949 41.598075962872727)
,,,,,,-1,-1,-1,,,72611,13,true,false,,ARDPI00008,,2010-06-16T22:00:00Z,2002-12-14T23:00:00Z,1,true,Carretera,Fragua,1,1,2,true,0,1,,2,"Edificio elemento tradicional habitual en deshuso donde se realizaban los trabajos de herrería del pueblo, localizado hacia el centro del pueblo de Brandilanes. Actualmente se está acondicionando como museo ejemplo de una herrería típica.",POINT (-6.212585238433655 41.620549942650996)
,,,,,,-1,-1,-1,,,81593,13,true,false,,LGNPI00015,,2011-06-08T22:00:00Z,2008-12-08T23:00:00Z,2,false,,Cueva de los Potros,4,3,2,true,0,4,,11,,POINT (-3.053403721416305 42.054403578582161)
,,,,,,-1,-1,-1,,,72612,13,true,false,,ARDPI00014,,2010-06-16T22:00:00Z,2005-02-14T23:00:00Z,1,true,Camino,Moldes de Arados-Potros de los Arados (Gamones),1,1,2,true,0,1,,2,Consisten en moldes excavados en la roca gran¡tica donde se fabricaban varas de arado utilizando troncos de negrillo consiguiendo la curvatura necesaria utilizando el potro como molde,POINT (-6.178821953958301 41.467178641470305)
,,,,,,-1,-1,-1,,,72613,13,true,false,,ARDPI00001,,2010-06-16T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Alquitara (Moralina),1,1,2,true,0,1,,2,Son pequeñas construcciones comunales donde se encuentra el alambique que todavía está en uso.,POINT (-6.134744731895765 41.48917467514638)
,,,,,,-1,-1,-1,,,72614,13,true,false,,ARDPI00009,,2010-06-16T22:00:00Z,2002-12-14T23:00:00Z,1,true,Carretera,Horno de la Casa del Maestro (Moralina),1,1,2,true,0,1,,2,"Edificio elemento tradicional habitual en desuso donde se encontraba el horno típico donde se horneaba el pan que pertenecía a la casa del maestro que actualmente es el ayuntamiento del pueblo de Moralina , localizado junto al ayuntamiento. Actualmente se",POINT (-6.136301869746282 41.489177212274221)
,,,,,,-1,-1,-1,,,72615,13,true,false,,ARDPI00002,,2010-06-16T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Alquitara (Villadepera),1,1,2,true,0,1,,2,Son pequeñas construcciones comunales donde se encuentra el alambique que todavía está en uso.,POINT (-6.131090277534056 41.546019067739635)
,,,,,,-1,-1,-1,,,76555,13,true,true,,BSFPI0009,,2010-07-06T22:00:00Z,2000-07-10T22:00:00Z,1,true,,El Pinar negral,1,3,2,true,0,1,,3,"Flora, fauna y paisaje de nuestros bosques",POINT (-6.240634859245886 40.539046667971647)
,,,,,,-1,-1,-1,,,72616,13,true,false,,ARDPI00013,,2010-06-16T22:00:00Z,2002-04-10T22:00:00Z,1,true,Sendero,Moldes de Arados-Potros de los Arados (Fornillos de Fermoselle),1,2,2,true,0,1,,2,Consisten en moldes excavados en la roca gran¡tica donde se fabricaban varas de arado utilizando troncos de negrillo consiguiendo la curvatura necesaria utilizando el potro como molde,POINT (-6.327728206224968 41.362532646556808)
,,,,,,-1,-1,-1,,,72603,13,true,false,,ARDPI00056,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera_Senda,Molino de la Vega,1,1,2,true,0,1,,2,Molino de la Vega en Sobradillo,POINT (-6.792454179973019 40.937868950719292)
,,,,,,-1,-1,-1,,,72604,13,true,false,,ARDPI00057,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Senda,Molino de Pasaderas,1,1,2,true,0,1,,2,Molino de Pasaderas en Villarino de los Aires,POINT (-6.416865568298309 41.256933883899926)
,,,,,,-1,-1,-1,,,72617,13,true,false,,ARDPI00010,Propiedad particular con cesión de uso público,2010-06-16T22:00:00Z,2002-04-10T22:00:00Z,1,true,Camino,Hornos de Rieta la Encina (Fornillos de Fermoselle),1,1,2,true,0,1,,2,"Antiguo tejar localizado en un alcornocal del que se conservan sus hornos que han sido recientemente restaurados, el barrero del cual se extraía el barro, las pilas de amasar el barro y un tendejón de nueva construcción recordando a la tosca construcción",POINT (-6.346250801848824 41.355438861540172)
,,,,,,-1,-1,-1,,,72618,13,true,false,,ARDPI00011,Particular con cesión de uso público,2010-06-16T22:00:00Z,2006-07-14T22:00:00Z,1,true,Carretera,Lagar de las Escavadas–Lagar de Pepe el Perdiz (Villadepera),1,1,2,true,0,1,,2,"Edificio situado en el casco urbano de Villardiegua utilizado para la elaboraci¢n de vino, actualmente en uso. Restaurado recientemente.",POINT (-6.128148856566335 41.546423404318411)
,,,,,,-1,-1,-1,,,72619,13,true,false,,ARDPI00012,Propiedad particular con cesión de uso público y municipal,2010-06-16T22:00:00Z,2005-02-14T23:00:00Z,1,true,Sendero,Lagares Rupestres (Mámoles),1,2,2,true,0,1,,2,Pilastras que fueron labradas en peñas de granito situadas en las proximidades del casco urbano de Mámoles que se han incluido en la ruta de los lagares en la que se interpreta cual era su función y el vinculo que tenía con Mámoles la producción de vino d,POINT (-6.306706547864542 41.401287110024008)
,,,,,,-1,-1,-1,,,72620,13,true,false,,ARDPI00015,,2010-06-16T22:00:00Z,2001-07-14T22:00:00Z,1,true,Camino,Molino Cabildo,1,1,2,true,0,1,,2,"Molino situado en el tramo del GR 14 Badilla - Gamones en la rivera de Badilla utilizado para moler cereal para uso ganadero, actualmente en uso. Restaurado recientemente.",POINT (-6.249501169336772 41.453263122542907)
,,,,,,-1,-1,-1,,,72621,13,true,false,,ARDPI00017,Propiedad particular con cesión de uso público y del Ayto de Villardiegua,2010-06-16T22:00:00Z,2008-10-14T22:00:00Z,1,false,Camino,Molino Cierbo (Villardiegua),1,1,2,true,0,1,,2,Molino situado en el tramo del GR 14 Villardiegua - Torregamones en la rivera del arroyo Fenoya utilizado sin maquinaría. Restaurado recientemente solo el edificio.,POINT (-6.231664780590672 41.521953601265572)
,,,,,,-1,-1,-1,,,72622,13,true,false,,ARDPI00018,Propiedad particular con cesión de uso público y del Ayto de Moralina,2010-06-16T22:00:00Z,2003-01-14T23:00:00Z,1,true,Sendero,Molino de la Veiga (Moralina),1,2,2,true,0,1,,2,"Molino situado en el tramo del PR Moralina - Puente Molino Bailador en la rivera de Moralina utilizado para moler cereal para uso ganadero, actualmente en uso. Restaurado recientemente.",POINT (-6.126257434933131 41.488271186420263)
,,,,,,-1,-1,-1,,,72623,13,true,false,,ARDPI00019,Propiedad particular con cesión de uso público y del Ayto de Fariza,2010-06-16T22:00:00Z,2005-06-14T22:00:00Z,1,true,Sendero,Molino Fraguales (Mámoles),1,2,2,true,0,1,,2,"Molino situado en el tramo del GR 14 Mámoles - Fornillos en la rivera de Mámoles utilizado para moler cereal para uso ganadero, actualmente en uso. Restaurado recientemente.",POINT (-6.30507911398629 41.392310295973807)
,,,,,,-1,-1,-1,,,72624,13,true,false,,ARDPI00020,Propiedad particular con cesión de uso público y del Ayto de Torregamones,2010-06-16T22:00:00Z,2003-06-14T22:00:00Z,1,true,Camino,Molino de los Lucies (Torregamones),1,1,2,true,0,1,,2,Molino situado en el tramo del GR 14 Torregamones - Villardiegua en la rivera de Torregamones utilizado para moler cereal para uso ganadero. Restaurado recientemente.,POINT (-6.227628931186556 41.515015698770725)
,,,,,,-1,-1,-1,,,72625,13,true,false,,ARDPI00021,Propiedad particular con cesión de uso público y del Ayto de Fariza,2010-06-16T22:00:00Z,2001-12-14T23:00:00Z,1,true,Camino,Molino Serafín (Mámoles),1,1,2,true,0,1,,2,"Molino con cernidora situado en el tramo del GR 14 Mámoles - Fornillos en la rivera de Mámoles utilizado para moler cereal para uso ganadero y para harina de consumo, actualmente en uso. Restaurado recientemente.",POINT (-6.301154030587329 41.391315403577167)
,,,,,,-1,-1,-1,,,72626,13,true,false,,ARDPI00022,Propiedad particular con cesión de uso público y del Ayto de Fariza,2010-06-16T22:00:00Z,2002-02-14T23:00:00Z,1,true,Camino,Molino de Urrieta (Palazuelo),1,1,2,true,0,1,,2,"Molino situado en el tramo del PR Palazuelo - Molino Serafín en la rivera del arroyo de Palazuelo, sin maquinaría. Restaurado recientemente solo el edificio.",POINT (-6.286114776688787 41.385244282620519)
,,,,,,-1,-1,-1,,,72599,13,true,false,,ARDPI00041,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Subida al castillo de Barruecopardo,1,1,2,true,0,1,,4,Subida al castillo de Barruecopardo,POINT (-6.666031392498135 41.071465714891467)
,,,,,,-1,-1,-1,,,72600,13,true,false,,ARDPI00042,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Antigua cárcel de Cerezal,1,1,2,true,0,1,,2,Antigua Cárcel de Cerezal de Peñahorcada,POINT (-6.653096022671694 41.130918757500226)
,,,,,,-1,-1,-1,,,72601,13,true,false,,ARDPI00050,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Lavaderos de Ahigal de los Aceiteros,1,1,2,true,0,1,,2,Lavaderos tradicionales en Ahigal de los Aceiteros,POINT (-6.748175973861905 40.873439026344244)
,,,,,,-1,-1,-1,,,72602,13,true,false,,ARDPI00003,,2010-06-16T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Casa de Concejo (Fornillos de Fermoselle),1,1,2,true,0,1,,5,"Elemento tradicional habitual que hacía las funciones del ayuntamiento actual, localizado hacia el centro del pueblo de Fornillos de Fermoselle. Actualmente se está acondicionando como museo de la cerámica típica de Fornillos.",POINT (-6.331272676616312 41.363357561896869)
,,,,,,-1,-1,-1,,,76547,13,true,true,,BSFPI0001,,2010-07-06T22:00:00Z,2000-07-10T22:00:00Z,1,true,,Peña de Francia: Las Cumbres: Peñas y Matorrales donde nacen los Ríos,1,3,2,true,0,1,,4,El entorno del lugar donde nacen los ríos del Parque Natural,POINT (-6.168298264404805 40.512259890583948)
,,,,,,-1,-1,-1,,,76548,13,true,true,,BSFPI0002,,2010-07-06T22:00:00Z,2000-07-10T22:00:00Z,1,true,,Valle del Río Francia,1,3,2,true,0,1,,4,"Flora, fauna y paisaje de los ríos. La importancia del agua",POINT (-6.045377697065402 40.505039959540376)
,,,,,,-1,-1,-1,,,76549,13,true,true,,BSFPI0003,,2010-07-06T22:00:00Z,2000-07-10T22:00:00Z,1,true,,Valle del Río Agadón,1,3,2,true,0,1,,4,"Flora, fauna y paisaje de los ríos. La importancia del agua",POINT (-6.310746402204425 40.492462784927788)
