Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,equip_b_senalizacion_ext,equip_b_acceso_modo,equip_b_nombre,cerramiento_id,acc_id,acc_dis_id,equip_b_tiene_interes,equip_b_superficie_aprox,cerramiento_material_id,web,refugio_tipo,refugio_uso,refugio_actividad,refugio_capacidad_pernoctar,refugio_servicio_comida,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,77875,14,true,true,,CRLRF00004,,2010-04-15T22:00:00Z,1985-10-15T23:00:00Z,1,false,Pista forestal desde Santa María de las Hoyas,Refugio del Ciervo,1,1,2,true,0,1,,2,1,Recreo,false,false,POINT (-3.159737884311408 41.792255167491049)
,,,,,,-1,-1,-1,,,77876,14,true,true,,CRLRF00005,,2010-04-15T22:00:00Z,1985-10-15T23:00:00Z,1,false,Pista forestal desde la comarcal So-920,Casetón de Casarejos,1,1,2,true,0,1,,2,1,Varios,true,false,POINT (-3.051623931886148 41.793642609075384)
,,,,,,-1,-1,-1,,,77877,14,true,true,,CRLRF00006,,2010-04-15T22:00:00Z,1985-10-15T23:00:00Z,1,false,Pista forestal desde Hontoria del Pinar.,Vallejo la Sierra,1,1,2,true,0,1,,2,1,Varios,false,false,POINT (-3.169859158626494 41.827117648817101)
,,,,,,-1,-1,-1,,,78688,14,true,true,,FCCRF00001,"Refugio de piedra con dos estancias: una capilla y una estancia comedor-refugio con chimenea. Techo 2,15m, altura max. 4m aprox., anchura muro 40 cm. El interior del refugio tiene las paredes llenas de pintadas. Hay tres bancos y una mesa en el interior y un banco adosado a la pared exterior.",2009-12-16T23:00:00Z,2006-07-26T22:00:00Z,1,false,,Refugio del Cristo Sierra,1,2,2,false,0,1,,3,3,,false,false,POINT (-4.74130092423488 42.851351425929884)
,,,,,,-1,-1,-1,,,78689,14,true,true,,FCCRF00002,"Refugio de montaña construído en piedra, en un enclave muy emblemático. Interior abajo: 480anchox390largox240alt. Arriba: 480x390x204en el centro y cero a los extremos. Frente ext. Incl. Alas de piedra 11,2 m",2009-12-16T23:00:00Z,2006-07-26T22:00:00Z,1,false,,Refugio de Santa Marina,4,2,2,false,0,4,,3,3,,false,false,POINT (-4.606141419801674 42.974276827227946)
,,,,,,-1,-1,-1,,,78692,14,true,true,,FCCRF00005,"Caseta refugio con estructura de madera y cubierta de tejas. Paredes de mampostería de coloración rojiza. Banco interior de madera en ángulo: 40 anch.x 50 alt x (1,80+3,50) long. Anch.muro 50, alt vita ant 2,70.",2009-12-16T23:00:00Z,2006-08-13T22:00:00Z,1,false,,Caseta refugio junto al sendero,1,2,2,false,0,1,,3,3,,false,false,POINT (-4.475459701406188 42.916759548123871)
,,,,,,-1,-1,-1,,,79852,14,true,false,,HERRF00001,,2010-05-03T22:00:00Z,2004-08-25T22:00:00Z,3,false,"Por la carretera BU-V-6431 de Tubilla del Agua a Tablada de Rudrón, a la altura del puente sobre el río Rudrón a mano izquierda junto a la carretera.",Tubilla del Agua,1,1,1,false,0,1,,1,1,Pesca,true,false,POINT (-3.820413273755219 42.709605817442949)
,,,,,,-1,-1,-1,,,79853,14,true,false,,HERRF00002,,2010-05-03T22:00:00Z,2004-08-25T22:00:00Z,1,true,"Por la carretera N-623, nada más pasar Barrio de Nápoles en dirección Cantabria parte una pista a mano derecha que tras recorrer 0,4 km por una senda señalizada conduce al refugio.",San Felices del Rudrón,1,2,2,false,0,1,,4,1,Pesca,true,false,POINT (-3.793100525399136 42.7636034418489)
,,,,,,-1,-1,-1,,,81599,14,true,false,,LGNRF00002,,2011-06-08T22:00:00Z,2008-12-08T23:00:00Z,4,true,Desde Neila dirección Vilavelallo (La Rioja),Refugio de pescadores de La Cerrada,3,1,2,false,0,6,,5,1,Montañismo,true,false,POINT (-2.981606031431597 42.080516652354113)
,,,,,,-1,-1,-1,,,81600,14,true,false,,LGNRF00003,Fuente natural cercana.,2011-06-08T22:00:00Z,2008-12-08T23:00:00Z,1,false,Río Frío-La Mina-Caseta el Dolar,Casa del Dolar,2,1,2,false,0,6,,6,1,Montañismo,true,false,POINT (-2.944957870278294 42.045625251453473)
,,,,,,-1,-1,-1,,,81601,14,true,false,,LGNRF00004,,2011-06-08T22:00:00Z,2008-12-08T23:00:00Z,4,false,Dirección Laguna Negra,"Caseta de pescadores ""Negra Larga""",1,2,2,false,0,1,,2,1,Montañismo,true,false,POINT (-3.062161047678274 42.045332734858484)
,,,,,,-1,-1,-1,,,81602,14,true,false,,LGNRF00005,,2011-06-08T22:00:00Z,2008-12-08T23:00:00Z,4,true,Dirección Laguna de Los Patos,"Caseta de pescadores ""Los Patos""",1,2,2,false,0,1,,2,1,Montañismo,true,false,POINT (-3.045635019285361 42.044884438203795)
,,,,,,-1,-1,-1,,,81603,14,true,false,,LGNRF00006,,2011-06-08T22:00:00Z,2008-12-08T23:00:00Z,1,false,Dirección a la Laguna Brava,"Caseta de pescadores ""La Brava""",1,3,2,false,0,1,,2,1,Montañismo,true,false,POINT (-3.042529205714802 42.040409827440897)
,,,,,,-1,-1,-1,,,81604,14,false,false,,LGNRF00007,,2011-06-08T22:00:00Z,2008-12-08T23:00:00Z,4,false,Pista forestal hacia La Tejera,La Tejera,1,2,2,false,0,1,,4,1,Ninguna,false,false,POINT (-3.014207263318112 42.053261709178969)
,,,,,,-1,-1,-1,,,81791,14,true,false,,LNURF00003,,2011-06-08T22:00:00Z,2010-03-01T23:00:00Z,3,false,Pista forestal,Refugio Muchachón,1,1,2,true,0,1,,4,1,Montañismo,true,false,POINT (-2.856423599884474 41.973113977583814)
,,,,,,-1,-1,-1,,,81792,14,true,false,,LNURF00005,,2011-06-08T22:00:00Z,2010-03-01T23:00:00Z,1,false,Pista forestal,Fuente del Berro,1,1,2,true,0,1,,4,1,,true,false,POINT (-2.920897344797468 41.998309274382208)
,,,,,,-1,-1,-1,,,81793,14,true,false,,LNURF00006,,2011-06-08T22:00:00Z,2010-03-01T23:00:00Z,3,false,Pista forestal,Bocalprado,1,1,2,true,0,1,,4,1,Montañismo,true,false,POINT (-2.839984646809496 41.9461182443493)
,,,,,,-1,-1,-1,,,81794,14,true,false,,LNURF00007,,2011-06-08T22:00:00Z,2010-03-01T23:00:00Z,3,false,Pista forestal,Tres Fuentes,1,1,2,true,0,1,,4,1,Montañismo,true,false,POINT (-2.845081079066683 41.970805003341511)
,,,,,,-1,-1,-1,,,81795,14,true,false,,LNURF00009,,2011-06-08T22:00:00Z,2010-03-01T23:00:00Z,3,false,Pista forestal,Refugio Fuente el Pico,1,1,2,true,0,1,,4,1,Montañismo,true,false,POINT (-2.830061371989168 41.943297183199078)
,,,,,,-1,-1,-1,,,81796,14,true,false,,LNURF00015,,2011-06-08T22:00:00Z,2010-03-01T23:00:00Z,3,false,Pista forestal,Refugio del Becedo,1,1,2,true,0,1,,4,1,Montañismo,true,false,POINT (-2.854042146825749 41.953611640771427)
,,,,,,-1,-1,-1,,,81797,14,true,false,,LNURF00004,,2011-06-08T22:00:00Z,2010-03-01T23:00:00Z,3,false,Senda peatonal a Urbión,Refugio El Bunker,1,1,2,true,0,1,,4,1,Montañismo,true,false,POINT (-2.90501474322822 42.008626179179508)
,,,,,,-1,-1,-1,,,81798,14,true,false,,LNURF00008,,2011-06-08T22:00:00Z,2010-03-01T23:00:00Z,3,false,Senda peatonal a Urbión,Refugio,1,1,2,true,0,1,,4,1,Montañismo,true,false,POINT (-2.873951957393191 42.008238199510373)
,,,,,,-1,-1,-1,,,81799,14,true,false,,LNURF00001,,2011-06-08T22:00:00Z,2010-03-01T23:00:00Z,3,false,"Por la pista forestal asfaltada que desde Vinuesa de acceso a la Laguna Negra, junto a la laguna.",Refugio de pescadores Laguna Negra,1,1,2,true,0,1,,7,1,,true,true,POINT (-2.845971056072756 41.998300855094485)
,,,,,,-1,-1,-1,,,81800,14,true,false,,LNURF00002,,2011-06-08T22:00:00Z,2010-03-01T23:00:00Z,3,false,"Por una pista forestal asfaltada que parte a mano izquierda en el pk10,500 de la carretera local SO-830 que une Vinuesa con Montenegro de Cameros, a mano izquierda junto a la pista.",Refugio Los Lomos,1,1,2,true,0,1,,4,2,,true,true,POINT (-2.797115741737664 42.014400669478995)
,,,,,,-1,-1,-1,,,81801,14,true,false,,LNURF00010,,2011-06-08T22:00:00Z,2010-03-01T23:00:00Z,3,false,Pista forestal,Refugio de los Ciemos,1,1,2,true,0,1,,4,1,Montañismo,true,false,POINT (-2.791644560397833 42.02554995775094)
,,,,,,-1,-1,-1,,,81802,14,true,false,,LNURF00011,,2011-06-08T22:00:00Z,2010-03-01T23:00:00Z,3,false,Pista forestal,Refugio de Cebrián,1,1,2,true,0,1,,4,1,Montañismo,true,false,POINT (-2.82379000005904 42.024784214197368)
,,,,,,-1,-1,-1,,,81803,14,true,false,,LNURF00012,,2011-06-08T22:00:00Z,2010-03-01T23:00:00Z,3,false,Senda peatonal desde Puerto a Urbión,Refugio de Peñas Albas,1,1,2,true,0,1,,4,1,Montañismo,true,false,POINT (-2.807549498971067 42.030765480454299)
,,,,,,-1,-1,-1,,,81804,14,true,false,,LNURF00013,,2011-06-08T22:00:00Z,2010-03-01T23:00:00Z,1,false,Pista forestal,Refugio de pescadores,1,1,2,true,0,1,,4,2,Montañismo,false,false,POINT (-2.780540410018653 41.949144466683855)
,,,,,,-1,-1,-1,,,81805,14,true,false,,LNURF00014,,2011-06-08T22:00:00Z,2010-03-01T23:00:00Z,1,false,Pista forestal,Refugio del Tormo,1,1,2,true,0,1,,4,2,Montañismo,false,false,POINT (-2.79434921209707 41.958392822883972)
,,,,,,-1,-1,-1,,,82684,14,true,false,,LSNRF00003,RDM.01 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio en Matanoso,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.779486430748108 42.132400571836058)
,,,,,,-1,-1,-1,,,82685,14,true,false,,LSNRF00004,RDM.02 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de la Agrupación Montañera Zamorana en Chanos de Anta,3,3,2,true,0,3,,3,1,Montañismo,true,false,POINT (-6.726680730575952 42.152595719009121)
,,,,,,-1,-1,-1,,,82686,14,true,false,,LSNRF00006,RDM.04 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de la majada,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.71591867371626 42.186176077177151)
,,,,,,-1,-1,-1,,,82687,14,true,false,,LSNRF00008,RDM.06 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de Cubellos,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.754277527755808 42.069887243282849)
,,,,,,-1,-1,-1,,,82688,14,true,false,,LSNRF00009,RDM.07 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de Peña Cueva,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.750341135211881 42.086400198490821)
,,,,,,-1,-1,-1,,,82689,14,true,false,,LSNRF00010,RDM.08 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de Puente Porto,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.828126361774713 42.11748617872783)
,,,,,,-1,-1,-1,,,82690,14,true,false,,LSNRF00011,RDM.09 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio en As Corvaceiras,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.860486278262118 42.149923077937906)
,,,,,,-1,-1,-1,,,82691,14,true,false,,LSNRF00012,RDM.10 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de Valdesirgas,3,3,2,true,0,3,,3,1,Varios,false,false,POINT (-6.877477098875463 42.147988632503498)
,,,,,,-1,-1,-1,,,82692,14,true,false,,LSNRF00013,RDM.11 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Chozo de la majada de Valdesirgas,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.880369419821545 42.135727717008152)
,,,,,,-1,-1,-1,,,82693,14,true,false,,LSNRF00014,RDM.12 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de la Sierra de Rábano,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.809163887253253 42.17721859021318)
,,,,,,-1,-1,-1,,,82694,14,true,false,,LSNRF00015,RDM.13 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de los Puertos de Ungilde y Quintana,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.833043069179698 42.125187914198385)
,,,,,,-1,-1,-1,,,82695,14,true,false,,LSNRF00017,RDM.15 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de la Porpasa,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.885127284169571 42.192185592237216)
,,,,,,-1,-1,-1,,,82696,14,true,false,,LSNRF00018,RDM.16 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de Corrais,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.919145533690335 42.185328533313772)
,,,,,,-1,-1,-1,,,82697,14,true,false,,LSNRF00019,RDP.01 / Sirve principalmente para dar cobijo a los pescadores que vienen a este coto.,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de Pescadores Coto de Galende,3,3,2,true,0,3,,3,1,Varios,false,false,POINT (-6.685849375082266 42.122895071179968)
,,,,,,-1,-1,-1,,,82698,14,true,false,,LSNRF00020,RDP.02 / Se utiliza como centro de socorro durante los meses veraniegos.,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de Pescadores Orilla del Lago,3,3,2,true,0,3,,3,1,Varios,false,false,POINT (-6.72095897037255 42.117521843314307)
,,,,,,-1,-1,-1,,,82699,14,true,false,,LSNRF00025,En el GR84,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de montaña de Ríopedro,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.756860587194057 42.214945532400826)
,,,,,,-1,-1,-1,,,82700,14,true,false,,LSNRF00027,En el GR84,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de montaña de Campo Laiol,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.865092449621881 42.102908941286735)
,,,,,,-1,-1,-1,,,82701,14,true,false,,LSNRF00028,En el GR84,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de montaña del Marmolin,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.818191965515978 42.086350354438132)
,,,,,,-1,-1,-1,,,82702,14,true,false,,LSNRF00029,En el GR84,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de montaña de Sotillo de Sanabria,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.759349251312583 42.102446018846386)
,,,,,,-1,-1,-1,,,82703,14,true,false,,LSNRF00030,,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,false,,Chozo de la Sierra de Valdespino,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.835561621617515 42.162218830087347)
,,,,,,-1,-1,-1,,,82704,14,true,false,,LSNRF00031,,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,false,,Refugio de montaña la Vega del Conde,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.761656382275573 42.20863338323506)
,,,,,,-1,-1,-1,,,82705,14,true,false,,LSNRF00032,,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,false,,Refugio de Montaña de Playa,3,3,2,false,0,3,,3,1,Varios,true,false,POINT (-6.811836384649967 42.125565855947251)
,,,,,,-1,-1,-1,,,82706,14,true,false,,LSNRF00033,,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,false,,Refugio de montaña de Cárdema,3,3,2,false,0,3,,3,1,Varios,true,false,POINT (-6.790867659146433 42.128768434273887)
,,,,,,-1,-1,-1,,,82707,14,true,false,,LSNRF00005,RDM.03 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugio de la Agrupación Montañera Zamorana en Vega de Conde,3,3,2,true,0,3,,3,1,Montañismo,false,false,POINT (-6.770258157398731 42.204352466440241)
,,,,,,-1,-1,-1,,,82708,14,true,false,,LSNRF00024,En el GR84,2010-05-31T22:00:00Z,1978-10-26T23:00:00Z,1,true,,Refugiode montaña de la Majada Murias,3,3,2,true,0,3,,3,1,Varios,true,false,POINT (-6.725076872114498 42.192225325489076)
,,,,,,-1,-1,-1,,,86151,14,false,false,,PEURF00232,Ganaderia,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Cosalines,4,3,2,false,0,4,,2,3,Ganadería,false,false,POINT (-5.159765547620119 43.03509897040319)
,,,,,,-1,-1,-1,,,84255,14,true,false,,MOBRF00027,Se puede acceder por una pista forestal en vehículo pero restringida a vehiculos autorizados. Se puede solicitar permiso a la Casa Forestal.,2009-04-23T22:00:00Z,2006-10-13T22:00:00Z,1,false,,Ocejo,1,2,2,false,0,1,,4,2,Recreo,false,false,POINT (-3.419929409599289 42.711604797829274)
,,,,,,-1,-1,-1,,,86251,14,false,false,,PEURF00278,,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Pinzón,4,3,2,false,0,4,,6,3,,false,false,POINT (-5.281453533382647 43.063158858124368)
,,,,,,-1,-1,-1,,,84256,14,true,false,,MOBRF00039,Se puede acceder por una pista forestal en vehículo pero restringida a vehiculos autorizados. Se puede solicitar permiso a la Casa Forestal.,2009-04-25T22:00:00Z,2006-10-13T22:00:00Z,1,false,,Pociles,1,2,2,false,0,1,,4,2,Recreo,false,false,POINT (-3.399780756659006 42.761456331950924)
,,,,,,-1,-1,-1,,,85605,14,true,true,,OJGRF00001,Gestionado desde La Casa del Parque. Punto de agua no potable para extinción de incendios forestales. Señalización usos y servicios.,2009-11-14T23:00:00Z,2006-07-01T22:00:00Z,1,true,Pista forestal de tierra-grava,Refugio Pico del Ángel,3,1,2,true,0,9,,3,2,Senderismo,true,false,POINT (-3.653533502424771 43.066457200001743)
,,,,,,-1,-1,-1,,,86112,14,false,false,,PEURF00215,,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Ablano (Guspiada),4,3,2,false,0,4,,2,3,Ganadería,false,false,POINT (-4.914855637410141 43.022743567632403)
,,,,,,-1,-1,-1,,,86113,14,false,false,,PEURF00216,,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Aguasalio,4,3,2,false,0,4,,7,3,,false,false,POINT (-4.820193009642586 42.963296725872077)
,,,,,,-1,-1,-1,,,86114,14,false,false,,PEURF00003,De madera y piedra,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Ampurias-Finisterre-Tramo leonés,4,3,2,false,0,4,,7,3,,false,false,POINT (-4.792625457582009 43.058171908604443)
,,,,,,-1,-1,-1,,,86115,14,false,false,,PEURF00005,,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Aprisco ganadero de Lillo,4,3,2,false,0,4,,8,3,Ganadería,false,false,POINT (-5.313317207745576 43.01991295202567)
,,,,,,-1,-1,-1,,,86116,14,false,false,,PEURF00006,,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Aprisco ganadero El Bustio,4,3,2,false,0,4,,8,3,Ganadería,false,false,POINT (-5.276843810012005 42.925330140609056)
,,,,,,-1,-1,-1,,,86117,14,false,false,,PEURF00007,,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Aprisco ganadero Langreo,4,3,2,false,0,4,,8,3,Ganadería,false,false,POINT (-5.310556419515865 43.04670186161318)
,,,,,,-1,-1,-1,,,86118,14,false,false,,PEURF00008,Paraje: La Horcada,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Aprisco La Horcada,4,3,2,false,0,4,,8,3,Ganadería,false,false,POINT (-5.135296497609782 43.081045256559214)
,,,,,,-1,-1,-1,,,86119,14,false,false,,PEURF00217,,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Aprisco Valdosín,4,3,2,false,0,4,,8,3,Ganadería,false,false,POINT (-5.166019188095283 43.088576251833416)
,,,,,,-1,-1,-1,,,86120,14,false,false,,PEURF00012,Piedra,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Arroyo de Orpiñas,4,3,2,false,0,4,,7,3,,false,false,POINT (-4.792625457582009 43.058171908604443)
,,,,,,-1,-1,-1,,,86121,14,false,false,,PEURF00014,Paraje: Becenes,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Becenes,4,3,2,false,0,4,,2,3,Ganadería,false,false,POINT (-5.067122901203802 43.093711435157132)
,,,,,,-1,-1,-1,,,86122,14,false,false,,PEURF00218,,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Bobias,4,3,2,false,0,4,,7,3,,false,false,POINT (-4.77209786556849 43.031334720491166)
,,,,,,-1,-1,-1,,,86123,14,false,false,,PEURF00015,,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Boca Culebrejas,4,3,2,false,0,4,,2,3,Ganadería,false,false,POINT (-4.794901801479633 43.05908109794742)
,,,,,,-1,-1,-1,,,86124,14,false,false,,PEURF00016,Paraje: Boca Culebrejas,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Boca Culebrejas,4,3,2,false,0,4,,6,3,Turismo,false,false,POINT (-4.792625457582009 43.058171908604443)
,,,,,,-1,-1,-1,,,86125,14,false,false,,PEURF00219,,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Bocicardiel,4,3,2,false,0,4,,2,3,Ganadería,false,false,POINT (-5.206619991525566 43.059663501075377)
,,,,,,-1,-1,-1,,,86126,14,false,false,,PEURF00220,No enviado archivo anterior,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Bocivacas,4,3,2,false,0,4,,2,3,Ganadería,false,false,POINT (-5.224502648616729 43.047154724425717)
,,,,,,-1,-1,-1,,,86127,14,false,false,,PEURF00022,Paraje: Bustraniego,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Bustraniego,4,3,2,false,0,4,,2,3,Ganadería,false,false,POINT (-5.018920796996617 42.939018754070226)
,,,,,,-1,-1,-1,,,86128,14,false,false,,PEURF00221,,2011-06-12T22:00:00Z,1995-05-29T22:00:00Z,2,false,,Cable,4,3,2,false,0,4,,6,3,,false,false,POINT (-4.939917120212828 43.108074097973109)
